isolation_source_sd,assembly_count
Asian pear tree,1
Asian swamp eel,1
Asidic,1
Asite,1
Aspir,1
Aszitespunktat,1
Atlantic Gulf of Guinea,1
Atlantic Ocean,1
Atlantic coast,1
Atlantic intertidal shore,1
Atoh1.control,1
Atoh1.rep1,1
Atoh1.rep2,1
Atrioventricular Valve,1
Atta cephalotes fungus garden,1
Autocrushed mass,1
Autopsy material,1
Avian Barn,1
"Avian, Wild Animal, Bird",1
"B24, IRRI",1
BACK,1
BAS,1
BASE OF RAIL NEXT TO SMALL PRO,1
BASTURMA,1
BBA,1
BDD Lesion,1
BEECH MARTEN,1
BEI Contacted,1
BEI HM-1,1
BEI HM-102,1
BEI HM-103,1
BEI HM-105,1
BEI HM-106,1
BEI HM-109,1
BEI HM-11,1
BEI HM-110,1
BEI HM-112,1
BEI HM-113,1
BEI HM-114,1
BEI HM-116,1
BEI HM-122,1
BEI HM-125,1
BEI HM-126,1
BEI HM-13,1
BEI HM-130,1
BEI HM-131,1
BEI HM-133,1
BEI HM-134,1
BEI HM-135,1
BEI HM-136,1
BEI HM-148,1
BEI HM-158,1
BEI HM-16,1
BEI HM-165,1
BEI HM-166,1
BEI HM-167,1
BEI HM-168,1
BEI HM-17,1
BEI HM-172,1
BEI HM-176,1
BEI HM-18,1
BEI HM-184,1
BEI HM-185,1
BEI HM-187,1
BEI HM-188,1
BEI HM-189,1
BEI HM-19,1
BEI HM-2,1
BEI HM-20,1
BEI HM-206,1
BEI HM-207,1
BEI HM-208,1
BEI HM-209,1
BEI HM-212,1
BEI HM-220,1
BEI HM-221,1
BEI HM-222,1
BEI HM-225,1
BEI HM-23,1
BEI HM-230,1
BEI HM-235,1
BEI HM-236,1
BEI HM-238,1
BEI HM-24,1
BEI HM-244,1
BEI HM-245,1
BEI HM-248,1
BEI HM-249,1
BEI HM-25,1
BEI HM-250,1
BEI HM-251,1
BEI HM-252,1
BEI HM-253,1
BEI HM-254,1
BEI HM-255,1
BEI HM-259,1
BEI HM-260,1
BEI HM-262,1
BEI HM-263,1
BEI HM-265,1
BEI HM-269,1
BEI HM-27,1
BEI HM-270,1
BEI HM-273,1
BEI HM-274,1
BEI HM-28,1
BEI HM-283,1
BEI HM-284,1
BEI HM-285,1
BEI HM-286,1
BEI HM-287,1
BEI HM-29,1
BEI HM-290,1
BEI HM-291,1
BEI HM-292,1
BEI HM-293,1
BEI HM-295,1
BEI HM-299,1
BEI HM-3,1
BEI HM-30,1
BEI HM-300,1
BEI HM-305,1
BEI HM-306,1
BEI HM-309,1
BEI HM-310,1
BEI HM-315,1
BEI HM-319,1
BEI HM-32,1
BEI HM-321,1
BEI HM-325,1
BEI HM-326,1
BEI HM-327,1
BEI HM-328,1
BEI HM-330,1
BEI HM-331,1
BEI HM-332,1
BEI HM-333,1
BEI HM-34,1
BEI HM-348,1
BEI HM-36,1
BEI HM-42,1
BEI HM-43,1
BEI HM-45,1
BEI HM-468,1
BEI HM-469,1
BEI HM-471,1
BEI HM-473,1
BEI HM-474,1
BEI HM-476,1
BEI HM-477,1
BEI HM-478,1
BEI HM-479,1
BEI HM-480,1
BEI HM-481,1
BEI HM-482,1
BEI HM-483,1
BEI HM-484,1
BEI HM-485,1
BEI HM-488,1
BEI HM-489,1
BEI HM-49,1
BEI HM-490,1
BEI HM-494,1
BEI HM-495,1
BEI HM-496,1
BEI HM-497,1
BEI HM-498,1
BEI HM-500,1
BEI HM-502,1
BEI HM-503,1
BEI HM-504,1
BEI HM-505,1
BEI HM-506,1
BEI HM-507,1
BEI HM-508,1
BEI HM-509,1
BEI HM-510,1
BEI HM-511,1
BEI HM-512,1
BEI HM-513,1
BEI HM-514,1
BEI HM-515,1
BEI HM-516,1
BEI HM-517,1
BEI HM-518,1
BEI HM-519,1
BEI HM-520,1
BEI HM-521,1
BEI HM-522,1
BEI HM-523,1
BEI HM-524,1
BEI HM-525,1
BEI HM-526,1
BEI HM-527,1
BEI HM-528,1
BEI HM-529,1
BEI HM-530,1
BEI HM-531,1
BEI HM-532,1
BEI HM-533,1
BEI HM-534,1
BEI HM-535,1
BEI HM-536,1
BEI HM-537,1
BEI HM-538,1
BEI HM-539,1
BEI HM-54,1
BEI HM-541,1
BEI HM-542,1
BEI HM-543,1
BEI HM-552,1
BEI HM-553,1
BEI HM-554,1
BEI HM-555,1
BEI HM-556,1
BEI HM-557,1
BEI HM-559,1
BEI HM-560,1
BEI HM-562,1
BEI HM-563,1
BEI HM-564,1
BEI HM-565,1
BEI HM-566,1
BEI HM-567,1
BEI HM-58,1
BEI HM-59,1
BEI HM-6,1
BEI HM-60,1
BEI HM-61,1
BEI HM-618,1
BEI HM-619,1
BEI HM-62,1
BEI HM-620,1
BEI HM-621,1
BEI HM-63,1
BEI HM-631,1
BEI HM-633,1
BEI HM-634,1
BEI HM-635,1
BEI HM-636,1
BEI HM-637,1
BEI HM-638,1
BEI HM-639,1
BEI HM-64,1
BEI HM-640,1
BEI HM-641,1
BEI HM-642,1
BEI HM-645,1
BEI HM-647,1
BEI HM-65,1
BEI HM-66,1
BEI HM-67,1
BEI HM-68,1
BEI HM-699,1
BEI HM-700,1
BEI HM-701,1
BEI HM-702,1
BEI HM-703,1
BEI HM-705,1
BEI HM-706,1
BEI HM-707,1
BEI HM-708,1
BEI HM-709,1
BEI HM-710,1
BEI HM-712,1
BEI HM-713,1
BEI HM-715,1
BEI HM-716,1
BEI HM-717,1
BEI HM-718,1
BEI HM-719,1
BEI HM-720,1
BEI HM-721,1
BEI HM-723,1
BEI HM-724,1
BEI HM-725,1
BEI HM-726,1
BEI HM-728,1
BEI HM-729,1
BEI HM-730,1
BEI HM-731,1
BEI HM-732,1
BEI HM-733,1
BEI HM-734,1
BEI HM-745,1
BEI HM-746,1
BEI HM-747,1
BEI HM-75,1
BEI HM-758,1
BEI HM-759,1
BEI HM-76,1
BEI HM-760,1
BEI HM-761,1
BEI HM-763,1
BEI HM-764,1
BEI HM-768,1
BEI HM-769,1
BEI HM-77,1
BEI HM-770,1
BEI HM-771,1
BEI HM-772,1
BEI HM-773,1
BEI HM-774,1
BEI HM-775,1
BEI HM-776,1
BEI HM-777,1
BEI HM-778,1
BEI HM-78,1
BEI HM-780,1
BEI HM-80,1
BEI HM-801,1
BEI HM-809,1
BEI HM-810,1
BEI HM-813,1
BEI HM-814,1
BEI HM-815,1
BEI HM-816,1
BEI HM-82,1
BEI HM-84,1
BEI HM-85,1
BEI HM-88,1
BEI HM-89,1
BEI HM-9,1
BEI HM-92,1
BEI HM-93,1
BEI HM-94,1
BELF3,1
BENCH TRIM,1
BIG TANK,1
BIOPS,1
BK aerob,1
BL,1
BLACK BEAN & CORN SALAD,1
BLACK MATS PACKING AREA NFC,1
BLC,1
BLDP2,1
BOIL,1
BOTTOM CREASE OF BANDSAW,1
BOYACA,1
BP,1
BRAUNSWEIGER,1
BRD4_shNONT_H1963,1
BROKEN PREP COOLER HANDLE,1
BRON,1
BRONW,1
BROTH,1
"BT-474, TFAP2C ChIP",1
BUTTOCK,1
BY4741-Rrp6-HTP_Rrp44-exo_2,1
Babaco pedunkle sap,1
Baby's Cot,1
Bacillus,1
Bacillus pumilus 7P,1
Bacillus thuringiensis subsp,1
"Back, ortho screw",1
Bacon Egg Sandwich,1
Bacon curing brine,1
Bacteria,1
Bacteriophage-resistant mutant of strain KP-9165,1
Bacterium,1
Bactrocera cucuribitae,1
Baekkimchi,1
"Baja California Sur, Mexico",1
"Baked roll ""Ayashi""",1
"Baked roll ""Grilled perch """,1
"Baked roll ""Tik Tok""",1
Bakery industry product,1
Baking flour,1
Baking leaven,1
Baltic Sea,1
Bamboo,1
Bamboo forest,1
Banana shoot bio-fertilizer,1
Bangladeshi child,1
"Banister, Railing",1
Barfi,1
Barium solution,1
Bark,1
Bark canker,1
Bartholin gland,1
Basal glume rot on wheat and barley,1
Basil Aioli,1
Bathroom,1
Bathroom shower trap,1
Bats,1
Bayangol,1
Beach,1
Beach Cochlearia,1
Beach area,1
"Beach sand, Biarritz, France",1
Beach silt,1
Bean seed,1
Bean seedling,1
Bean seeds,1
Beaufort Sea,1
Beaver dam,1
"Bed , Facility 1000",1
Bed Mattress,1
Bed Rails,1
Bed controller_NA_BU21,1
Bed controller_P131_BU4,1
Bed controller_P132_BU20,1
Bed controller_P135_BU13,1
Bed controller_P18_BU19,1
Bed controller_P19_BU20,1
Bed controller_P21_BU22,1
Bed controller_P22_BU23,1
Bed controller_P47_BU17,1
Bed controller_P50_BU7,1
Bed controller_P55_BU22,1
Bed controller_P57_BU19,1
Bed controller_P68_BU23,1
Bed controller_P79_BU12,1
Bed end handrail,1
Bed rail_NA_BU13,1
Bed rail_NA_BU21,1
Bed rail_NA_BU7,1
Bed rail_P101_BU13,1
Bed rail_P113_BU11,1
Bed rail_P113_BU23,1
Bed rail_P124_BU21,1
Bed rail_P13_BU21,1
Bed rail_P23_BU25,1
Bed rail_P25_BU27,1
Bed rail_P27_BU18,1
Bed rail_P29_BU6,1
Bed rail_P2_BU1,1
Bed rail_P3_BU2,1
Bed rail_P41_BU14,1
Bed rail_P44_BU19,1
Bed rail_P47_BU17,1
Bed rail_P50_BU13,1
Bed rail_P50_BU21,1
Bed rail_P77_BU10,1
Bed rail_P77_BU21,1
Bed rail_P78_BU11,1
Bed rail_P78_BU13,1
Bed rail_P79_BU12,1
Bed rail_P97_BU24,1
Bed sore,1
Bedding 1,1
"Bedrail , Facility 3000",1
Bedrails,1
Bedside right button,1
Bedside table_NA_BU21,1
Bedside table_P101_BU22,1
Bedside table_P108_BU14,1
Bedside table_P109_BU16,1
Bedside table_P115_BU5,1
Bedside table_P120_BU16,1
Bedside table_P121_BU17,1
Bedside table_P124_BU21,1
Bedside table_P130_BU23,1
Bedside table_P13_BU14,1
Bedside table_P140_BU25,1
Bedside table_P17_BU18,1
Bedside table_P19_BU18,1
Bedside table_P21_BU22,1
Bedside table_P23_BU25,1
Bedside table_P25_BU27,1
Bedside table_P27_BU18,1
Bedside table_P35_BU19,1
Bedside table_P47_BU17,1
Bedside table_P50_BU13,1
Bedside table_P50_BU7,1
Bedside table_P52_BU16,1
Bedside table_P53_BU18,1
Bedside table_P54_BU19,1
Bedside table_P57_BU19,1
Bedside table_P6_BU8,1
Bedside table_P77_BU25,1
Bedside table_P78_BU11,1
Bedside table_P78_BU13,1
Bedside table_P87_BU8,1
Bedside table_P8_BU9,1
Bedside table_P93_BU5,1
Bee beehive,1
Bee nest (mix),1
Beetroot salad with pickles and dressing,1
Belgian Congo,1
Bell pepper,1
Benedictia baicalensis,1
Bidens pilosa,1
Bil fld,1
Bilary stent,1
Bilis,1
Bing,1
Biofertilizer product,1
Biofilter from an oil mill,1
Biofilter in a recirculating aquaculture system,1
Biogas slurry,1
Biological material: laceration near coffin joint,1
"Biological material: necropsy, euthanized due to nail puncture",1
Biological material: nuclear scintigraphy,1
Biological material: vasculitis (purpura),1
"Bioluminescent Bay, La Paraguera, Puerto Rico",1
Biomedical source,1
Biopesticide Agree WP,1
"Biopesticide B401/B402 (Certan), Vita-Swarm",1
Biopesticide Delfin,1
Biopesticide DiPel DF,1
Biopesticide Novodor 3FC,1
Biopesticide Solbac,1
Biopesticide XenTari,1
Biosafety level 3 lab,1
Biospsy-mesenteric mass,1
Bipsy,1
Bird Rinse,1
Bird nest,1
Bivalve: Bathymodiolus heckerae,1
Bivalve: Pillucina vietnamica,1
Bivalves,1
Black Pepper (in grinders),1
Black Pepper Powder,1
Black Smoker,1
Black Soldier Fly (Hermetia illucens) pupae shell piles,1
Black headed gull,1
Black liquor treatment system of a cotton pulp mill,1
Black pepper,1
"Black smoker from hydrothermal field Lucky Strike, mid-Atlantic Ridge",1
Black-collared Starling,1
BlackSea,1
Bleached coral,1
Bleeding room (floor) of slaughterhouse E,1
Blister,1
Blod,1
Blodkultur,1
"Blue Lagoon, Iceland at 20 cm",1
Boars Head,1
Bobby veal steak,1
Body,1
Body Fl,1
"Body hoist wrap , Facility 2000",1
Body ulcer,1
BodyFluid,1
Boerewors,1
Bohai seaside wetland,1
Boiled sausages,1
Boiling beach during volcanic eruption,1
Bolognese sauce,1
Bombay alloo,1
Bombus spp.,1
Bombus terrestris,1
Bombyx mori litter,1
Bonamia pannosa,1
Boot,1
"Boothbay harbor, 1m depth",1
Bos Taurus,1
"Boston, MA, USA",1
Botrylloides leachi in torpor state,1
Bottle cap,1
Bottom of shoe,1
Bovine Fore Tendon,1
Bovine Jejunum,1
Bovine Organ,1
Bovine Patties,1
Bovine Veterinary,1
Bovine feaces,1
"Bovine, Livestock",1
"Bovine, Livestock, Calf",1
Box,1
Brandtia sp.,1
Brat Dogs,1
Bratwurst,1
Bread,1
Breathing tube,1
Breeder,1
Breeder's sole wipe,1
Breeding flock,1
Brewery,1
Brinjal Field,1
Broad-billed sandpiper,1
Broccoli,1
"Broccoli Florets - cut, packaged",1
Brocheal washing,1
Brochoalveolar lavage,1
Broncheal washing,1
Bronchialveolar Lavage,1
Bronchioaleveolar lavage,1
Bronchioalveolar lavage,1
Bronchioles,1
Bronchlavage,1
Broncho,1
Broncho alveoler lavaj,1
Bronchoalve. Lavage,1
Bronchoalvelar lavage (BAL),1
Bronchoavleolar lavage,1
Broncholaveolar lavage,1
Broncial Lavage,1
Bronco-alveolar lavage,1
Broncolavage,1
Bronko-alveolær lavage,1
Brook charr,1
Broussonetia papyrifera,1
"Brown mud, Galway, Ireland",1
Brown shark,1
Brown trout,1
Brunnich's guillemot (Uria lomvia) egg shell,1
Brush part of adsorption pile in the ditch,1
Brussel sprouts,1
Buccal,1
Buccal Gingiva,1
Buccal Sulcus,1
Bucket (fill hoops),1
Buckweat porridge,1
Buckwheat Sprouts,1
Buckwheat moromi fermentation,1
Buds,1
Buffalo calf,1
Buffalo farms,1
Buffer solution,1
Bulgogi,1
Bulk Egg Butter,1
Bulk Tank,1
Bulk tank,1
Bull prepuce - 14.04.2004,1
Bull prepuce - 30.03.2004,1
Bull semen,1
Bull sperm - 30.03.2004,1
Bullae,1
Bullae on right hindpaw,1
BunkBedBath_Showerhead_Hot,1
Burger,1
Burkholderia gladioli,1
Burong isda,1
Bursa - knee,1
"Bursa, elbow",1
Bursain,1
"Bus, public transportation",1
Bushtit nest found 20 feet off the ground in a eucalyptus tree,1
Bustard,1
Butchery_1,1
Butchery_105,1
Butchery_107,1
Butchery_11,1
Butchery_13,1
Butchery_150,1
Butchery_18,1
Butchery_21,1
Butchery_22,1
Butchery_24,1
Butchery_26,1
Butchery_28,1
Butchery_3,1
Butchery_30,1
Butchery_34,1
Butchery_36,1
Butchery_38,1
Butchery_40,1
Butchery_42,1
Butchery_44,1
Butchery_46,1
Butchery_48,1
Butchery_5,1
Butchery_50,1
Butchery_52,1
Butchery_54,1
Butchery_56,1
Butchery_58,1
Butchery_62,1
Butchery_64,1
Butchery_66,1
Butchery_68,1
Butchery_7,1
Butchery_70,1
Butchery_72,1
Butchery_75,1
Butchery_77,1
Butchery_83,1
Butchery_85,1
Butchery_87,1
Butchery_89,1
Butchery_9,1
Butchery_91,1
Butchery_93,1
Butchery_95,1
Butchery_97,1
Butchery_99,1
Butter_8,1
Butterfish,1
Butterfly pea,1
Butternut squash,1
Buttock decubitus,1
"Buttocks, left",1
"Buttovk, Right",1
By products,1
C COL Misc (BAL),1
C COL misc (BAL),1
C Misc (L elbow Joint),1
C RA BJH,1
C- Cutting Board,1
C. elegans from rotting apple,1
"C.C.Carpenter, Syracuse U. Res. Corp.",1
C02,1
C201R Negative Ctrl,1
C201R-male,1
C4-fibre plants,1
C57Bl/6 mouse at an animal facility,1
C57Bl/6 mouse at the Animal Research Facility,1
C600 transformat with plasmid IncX3,1
CALDAS,1
CANOLA MEAL FOR ANIMAL FEED,1
CAPD,1
CAPSULE,1
CB- LEGS,1
"CB35, DSM 18206, JCM 13469",1
CBFb_induced_ChIPseq,1
CBFb_thymocyte_Runx1KO_ChIPseq,1
CBFb_uninduced_ChIPseq,1
CCU,1
"CCUG 18818, NCTC 12423",1
CCUG 2042,1
CCUG 25605,1
CCUG 27744,1
CCUG 42984,1
CCUG 45783,1
CCUG 46377,1
CCUG 47273,1
"CCUG 48703, DSM 17240",1
CCUG 50731,1
CCUG 52486,1
CCUG 55227,1
CCUG 59319,1
CCUG 59320,1
CCUG 59321,1
CCUG 59322,1
CCUG 59323,1
CCUG 59324,1
CCUG 59325,1
CCUG 59326,1
CCUG 59327,1
CCUG 59328,1
CCUG 59329,1
CCUG 59330,1
CCUG 59331,1
CCUG 59332,1
CCUG 59333,1
CCUG 59459,1
CCUG 59460,1
CCUG 59462,1
CCUG 59474,1
CCUG 59475,1
CCUG 59477,1
CCUG 59478,1
CCUG 59485,1
CCUG 59488,1
CCUG 59489,1
CCUG 59491,1
CCUG 59494,1
CCUG 59495,1
CCUG 59500,1
CCUG 59501,1
CCUG 59504,1
CCUG 59508,1
CCUG 62640,1
CCUG 62641,1
CCUG 62642,1
CCUG 62643,1
CCUG 62644,1
CCUG 62648,1
CCUG 62649,1
CCUG 62652,1
CCUG 62653,1
CCUG 62654,1
CCUG 62655,1
CCUG 62656,1
CD19+ cells,1
CD34+ cells,1
CD4,1
CD4 T cells,1
CD8 T cells,1
CD8+ T cells,1
CEH,1
CEMENT,1
CENTRAL,1
CESC 3,1
CFS,1
CGC,1
CGD,1
CGZ,1
CHEBI:33281,1
CHEBI_72813;ENVO_01001110,1
CHICK PAPER,1
"CHN:Guizhou, liping",1
CKD,1
CLEANING TABLE AND BIN,1
CM1,1
CMP,1
CNRRI,1
COMP,1
COOLER DOOR HANDLE,1
CORNBREAD,1
COVID ward,1
CS-1,1
CS-10,1
CS-11,1
CS-12,1
CS-13,1
CS-2,1
CS-3,1
CS-4,1
CS-5,1
CS-6,1
CS-7,1
CS-8,1
CS-9,1
CSU,1
CT Picc Line,1
CV tip,1
CVP Tip,1
CVP site,1
CWDANST,1
CWH 07,1
CWH 14,1
CWH 15,1
CWH 18,1
CWH 23,1
CWH 32,1
CWH 44,1
CWH 49,1
CWH 51,1
CWH 59,1
CWH 60,1
CWH 61,1
CWOUND - COCCYX,1
CXNAS,1
CYST,1
Cabbage (burst),1
Cabbage with the soft rot symptoms,1
Cabernet Gernischt,1
Cabinet,1
Cabinet/drawer handles,1
Cacatua galerita,1
Caceres,1
Cage,1
Cage floor,1
Caifan (explosion),1
Caiman,1
Cake Mix,1
Calcarenite,1
Calcium Supplement,1
Calf Dehided Midline,1
Calf Dehided Midline Colony Harvest,1
Calf Dehided Midline Harvest Colony,1
Calf Dehided USDA Colony Harvest,1
Calf Dehided USDA Harvest Full Swipe,1
Calf Eviscerated Midline Full Swipe,1
Calf Eviscerated Midline Full Swipe Harvest,1
Calf Eviscerated USDA,1
Calf Eviscerated USDA Colony,1
Calf Eviscerated USDA Full Swipe,1
Calf Eviscerated USDA Harvest Colony,1
Calf Eviscerated USDA Harvest Full Swipe,1
Calf Evisceration USDA,1
Calf Evisceration USDA Harvest,1
Calf burn,1
Calf feed trough,1
Calf graft,1
Calf right,1
Calf2,1
California Buckeye trees,1
California Ground Squirrel (Spermophilus beecheyi),1
California least tern,1
Call light,1
Camel intentine,1
Camelus sp.,1
Canada,1
Canada goose,1
"Canada: Newfoundland, L'Anse Aux Meadows",1
Canadian High Arctic grass,1
Canadian peat with Brassaia actinphyllia,1
Candi,1
Cane shoots,1
Canicola,1
Canine Peritoneum (Canis lupus familiaris),1
Canine abdominal effusion,1
Canine faeces,1
Canker on pear tree infected with Erwinia amylovora,1
Capd liquid,1
Capsella bursa-pastoris,1
Captive tank for Scyliorhinus torazame,1
"Captive ungulate, Al Ain Zoo",1
Caragana arborescens,1
Carbuncle,1
Cardiac,1
Cardio-Thoracic Surgery,1
Cardiovascular medicine,1
Care for handlebars,1
Carex cinerascens,1
Caribou,1
Caries lesion,1
Carnivores section,1
Carottes,1
Carpal (Canis lupus familiaris),1
Carrier fallow-deer,1
Carrier vulture,1
Carrot juice,1
Carrot sprouts (burst),1
Cart (NFCS),1
Carteau Island,1
Cat (Fecal),1
Cat faeces,1
"Cat, gingiva",1
Catether,1
Cath Tip,1
Cath.V.O.S,1
Cather Tip,1
CatheterUrine,1
Catheterized,1
Cave deposits,1
Caviar,1
Cavum,1
CecalSow,1
Celery Seed Whole Organic,1
Cellulitis lesion1,1
Cellulitis lesion2,1
Cellulitis lesion3,1
Cellulitis lesion4,1
Cellulitis lesion5,1
Cellulitis lesion6,1
Cellulitis lesion7,1
Cellulitis lesion8,1
Cellulitis lesion9,1
Celniker/RNA:9,1
Center of yard (Environmental),1
Central Line White,1
"Central Veterinary Lab, Weybridge",1
Central line,1
Cereal,1
Cerebrospinal,1
Cerivx,1
Cervical cancer cell line (HeLa),1
Cervical discharge,1
Cervical node,1
Cervico-Facial Lesion,1
Cervicovaginal exudate,1
Cesspool,1
ChIp-seq_wt_IgG_rep1,1
Chagos Laccadive Ridge,1
"Chaguaramas, north-west Trinidad",1
Chalinolobus picatus,1
Chamaeleonidae,1
ChanchoCo near thermal bath,1
Charcoal,1
Chard,1
Chato Plantain,1
Chciken Gizzards,1
"Chengdu, Sichuan, China",1
Cheonggukjang,1
"Cheshire, UK",1
Chest (PUS),1
Chest left,1
Chestwall,1
Chicekn breasts,1
Chicharron with chili,1
Chick Pads,1
Chickenbreasts,1
Chickenlegs,1
Chieken Wings,1
Chigee,1
Chiken cutlet,1
Child cutaneous anthrax,1
Child with active caries,1
Childrens hosptial,1
Chilean copper mine,1
Chili Powder,1
Chili sauce,1
Chili sin carne,1
Chilled East China Sea small yellow croaker,1
Chilled Ningde large yellow croaker,1
Chilled goulash,1
Chilled raw goat,1
Chilled sea pomfret,1
Chilled small yellow croaker,1
Chilled swimming crab,1
Chiller rework table,1
Chilli (Aj) sauce,1
Chilli Powder,1
Chilli powder,1
Chillie Powder for Curries,1
Chilling room (floor) of Slaughterhouse C,1
Chilling room (floor) of slaughterhouse D,1
Chilling room (wall) of Slaughterhouse C,1
Chilling room (wall) of slaughterhouse D,1
"China,Henan",1
China: Anhui,1
China: Guangdong,1
China: Shanghai,1
China: Zhejiang,1
Chinese Jiuqu,1
Chinese Maotai-flavor liquor making process,1
"Chinese Petroleum Corporation 77 Kaoshiung Refinery located in Kaoshiung 78 City, Taiwan",1
Chinese cabbage geotjeori,1
Chinese cabbage salad,1
Chinese herbal medicine,1
Chinese pancake,1
Chinese plate,1
Chinese radish seeds,1
Chinese salad,1
Chinese sausages,1
Chinese spacecraft Shenzhou X,1
Chinese traditional drink Douzhi,1
Chinese traditional fermented Jiangshui,1
Chkn-mixed Parts,1
Chlamydia muridarum Nigg,1
Chlamydogobius eremius,1
Chlorocebus sabaeus,1
Chocolate cake,1
Cholistan desert,1
Chonburi,1
Chondroid LGP,1
Chongming Island,1
Chop choy,1
Chopped Ham,1
Chopped Kale,1
Chopped Parsley,1
Chorioallantois,1
Chronic case,1
Chrysanthemum yellows,1
Chrysomya megacephala adult collected from field of the airport,1
Chrysomya sp.,1
Chungkukjang,1
Chungkukjang (Korean traditional fermented food),1
Cichorium intybus imported from Belgium,1
Ciliate: Euplotes octocarinatus,1
Ciliate: Zoothamnium niveum,1
Circulating banknote,1
Citrullus colocynthis (desert melon) Seeds,1
Citrullus lanatus,1
"Citrus tree with 23 graft unions, primarily of lemon (Citrus meyeri) and pomelo (Citrus maxima) varieties",1
City outskirt park,1
Claw,1
Clay suspended in kerosene for three weeks,1
Cleaning car,1
Cleaning room: Cleaning trolley handle,1
Cleaning room: mop handle,1
Cloacal,1
Cloud,1
Cloudrat,1
Coal cuttings from Coal bed Methane well site,1
Coal mine powder,1
Coal-cleaning residues,1
Coarse Wurst,1
Coastal estuarine mud,1
Coastal wetlands,1
Coccygeal lesions,1
Coconi,1
Coffee Cup,1
Col-0 with Rnase R digestion,1
Col-0 without Rnase R digestion,1
Cold Storage Room Floor (NFCS),1
Cold salad (chicken),1
Cold salad (shredded tofu),1
Cold storage room-floor,1
Cold-smoked tuna,1
ColdStorageRoomDrain,1
Coldstore_1,1
Coldstore_13,1
Coldstore_3,1
Coldstore_5,1
Coldstore_7,1
Coldstore_9,1
Coleoptera Cantharidae,1
Coleptera,1
Coleslow,1
Collar,1
Collection sharps contained,1
Collection strain,1
Collema sp.,1
Colocasia esculenta,1
Colonic mucusa,1
Colonoscope,1
Colony 11,1
Colony 1151,1
Colony 1442,1
Colony 49,1
Colony A,1
Colony C1,1
Colony K2,1
Colony T12,1
Colony T23,1
Colony V10,1
Colony V9,1
Colorectal cancer,1
Colostrum feed bucket,1
Columba livia crop contents,1
Columba sp.,1
Commercial Digestive Syrup,1
Commercial Mycovac-L vaccine,1
Commercial Orchard,1
"Commercial bio-nematicide formulation, VOTiVO FS (Bayer CropScience, Germany)",1
Commercial digestive Syrup,1
Commercial egg laying facility,1
Commercial pear tree in Orchard,1
Commercial source,1
Commercial vial,1
Commerical millet field,1
Complejo Asistencial Universitario de Salamanca (Salamanca),1
Composting,1
Compound Fracture,1
Computer keyboards,1
Computer mouse,1
Computer_NA_BU6,1
Computer_P101_BU22,1
Computer_P19_BU20,1
Computer_P24_BU26,1
Computer_P25_BU27,1
Computer_P28_BU12,1
Computer_P34_BU17,1
Computer_P47_BU17,1
Computer_P49_BU12,1
Computer_P57_BU11,1
Computer_P91_BU9,1
Computer_P96_BU15,1
Condensed product from product tank,1
Condensed product from reverse osmosis,1
Congee,1
Conjuctival,1
Conjuctival scaping,1
Conjuctival swap,1
Conjugation,1
Conjunctivae,1
Conjunctivitis case,1
Consortium,1
Constructed from strain GM2929,1
Construction,1
Construction aggregates,1
Construction termitiary (internal part) with termites,1
Contact lens,1
Container with rainwater and mosquitoes,1
Contains an artificial insertion of Tn916 between pcrA and SEQ_1022,1
Contaminante,1
Contaminated Mine Soils,1
Contaminated flask,1
Contaminated site (chlorinated hydrocarbon),1
Conveyer,1
Conveyor Belt,1
Cook Line - Exhaust tube vent kettle,1
Cook Line - Under Lid lip kettle,1
Cooked dungeness crab,1
Cooked ham,1
Cooked white rice stored in a home refrigerator for two weeks.,1
Cooking Unit,1
Cookware,1
"Coolant lubricant; Germany, Giessen",1
Cooler rack,1
Coprolite (A13154),1
Coprolite (A13368),1
Coprolite (A13432),1
Coral Palithoa sp.,1
Coral Sea,1
Coral mucus,1
Coral: Acropora abrotanoides,1
Coral: Acropora hyacinthus,1
Coral: Agaricia lamarcki,1
Coral: Eunicea knighti,1
Coral: Pavona decussata,1
Corchorus olitorius,1
Cord,1
Coriander sativum,1
Coriandrum sativum,1
Coriender and Cumin mix,1
Corn Snake (Faeces),1
Corn field with antibiotic exposure,1
Corn silage in Tianshui,1
Cornea Scraping,1
Corneal Scrape,1
Cornial scraping,1
Cornleaves & Stalks,1
Cornsnake,1
Corsican mandarin orange,1
Corynebacterium ulcerans,1
Cos Letucce,1
Cotton,1
Cotton boll,1
Cotton container lid,1
Cotton waste composts,1
Countertop (FCS),1
Cow,1
CptA deletion mutant of the strain SN35,1
Crab Marinated in Soy Sauce,1
Crap-stick,1
Crash trolley 1_NA_Room 10,1
Crash trolley 2_NA_Room 7,1
Crassostrea gigas larvae tank in the Pacific Northwest,1
Crate,1
Cream_15,1
Cream_24,1
Creeping bentgrass,1
Crenomytilus grayanus,1
Cress,1
Crested Goshawk,1
Critcal care Unit,1
Critical Care Unit,1
Crocus sativus,1
Crop field,1
Crop material,1
Crop swap,1
Croquette,1
Crown gall tissues,1
Crtical care Unit,1
Crude oil well,1
"Cryoprecipitate, transfusion reaction",1
Crystal Cave (limestone),1
"Crystal Cave, a limestone cave",1
Ctenocephalides felis,1
Ctenocephalides felis orientis homogenates,1
Ctenophtalmus intermedius,1
Ctenotus dux,1
Ctenotus pantherinus,1
Cuatro Cienegas Basin,1
