count,field,raw_value,normalized_value,status,current_standardized_value
1197,Environment (Local Scale),fecal material [ENVO:00002003],fecal material envo 00002003,standardized,gut/fecal local context
1196,Environment (Broad Scale),microbial community [PCO:1000004],microbial community pco 1000004,standardized,host-associated gut/oral/fecal environment
1176,Isolation Source,bacterial sample,bacterial sample,standardized,microbial isolate
1156,Isolation Source,surface water,surface water,standardized,surface
1151,Isolation Source,Gastric biopsy,gastric biopsy,standardized,gastric biopsy
1149,Isolation Source,cloacal swab,cloacal swab,standardized,cloacal swab
1148,Environment Medium,human-gut,human gut,unmapped,
1147,Isolation Source,Chicken Thighs,chicken thighs,unmapped,
1131,Isolation Source,rectal,rectal,standardized,clinical/host-associated material
1129,Isolation Source,water sediment,water sediment,standardized,sediment
1127,Host Disease,environmental-factory/production facility,environmental factory production facility,unmapped,
1126,Sample Type,Bacterial culture,bacterial culture,standardized,bacterial culture
1104,Isolation Source,UTI,uti,standardized,urine
1101,Isolation Source,River,river,standardized,environmental material
1090,Isolation Source,anal swab,anal swab,standardized,clinical/host-associated material
1087,Isolation Source,ear,ear,standardized,clinical/host-associated material
1084,Isolation Source,fecal material,fecal material,standardized,feces/stool
1082,Environment (Broad Scale),marine metagenome,marine metagenome,standardized,marine environment
1078,Environment (Broad Scale),Africa,africa,standardized,host-associated gut/oral/fecal environment
1074,Sample Type,Single cell,single cell,standardized,single cell
1070,Isolation Source,stool/rectal swab,stool rectal swab,standardized,clinical/host-associated material
1064,Isolation Source,Cheese rind,cheese rind,standardized,Cheese rind
1064,Environment Medium,faeces,feces,unmapped,
1063,Isolation Source,Wound/Abscess,wound abscess,standardized,abscess
1049,Environment Medium,Tidal Flat Sediment,tidal flat sediment,standardized,tidal flat sediment
1049,Environment (Broad Scale),Tidal Flat,tidal flat,standardized,aquatic sediment environment
1049,Environment (Local Scale),Intertidal zone,intertidal zone,standardized,coastal area
1042,Isolation Source,ground beef,ground beef,standardized,beef/meat product
1035,Isolation Source,pus,pus,standardized,pus
1027,Isolation Site,leaf,leaf,standardized,leaf tissue
1022,Host Disease,land animals,land animals,unmapped,
1016,Isolation Source,Hospitalized patient,hospitalized patient,unmapped,
1008,Environment (Local Scale),Swine barn,swine barn,standardized,gut/fecal local context
1008,Host Disease,bacterial infectious disease,bacterial infectious disease,standardized,infectious disease
1002,Isolation Source,animal-cattle-beef cow,animal cattle beef cow,unmapped,
1001,Isolation Source,bile,bile,standardized,bile
996,Isolation Source,Rectum,rectum,standardized,clinical/host-associated material
995,Environment Medium,groundwater,groundwater,standardized,groundwater
993,Isolation Source,shrimp,shrimp,standardized,shrimp
993,Environment (Broad Scale),terrestrial metagenome,terrestrial metagenome,standardized,terrestrial environment
984,Isolation Source,marine metagenome,marine metagenome,standardized,metagenome
981,Isolation Source,bovine feces,bovine feces,standardized,feces/stool
975,Isolation Source,Animal-Cattle-Beef Cow (cecal),animal cattle beef cow,standardized,clinical/host-associated material
974,Isolation Source,Pus,pus,standardized,pus
973,Environment (Local Scale),shoreline [ENVO:00000486],shoreline envo 00000486,unmapped,
972,Environment (Broad Scale),food material [FOODON:00002403],food material foodon 00002403,standardized,food-associated environment
972,Environment (Local Scale),dairy food product [FOODON:00001256],dairy food product foodon 00001256,unmapped,
971,Environment (Broad Scale),gut microbiome,gut microbiome,standardized,host-associated gut/oral/fecal environment
968,Host Disease,Prostatic Neoplasms,prostatic neoplasms,standardized,prostatic neoplasm
966,Sample Type,Isolate,isolate,standardized,microbial isolate
961,Environment (Broad Scale),soil metagenome,soil metagenome,standardized,terrestrial environment
960,Isolation Source,bronchoalveolar lavage,bronchoalveolar lavage,standardized,clinical fluid/material
960,Host Disease,Land Animals:Dairy:Solid/semisolid dairy products,land animals dairy solid semisolid dairy products,unmapped,
958,Isolation Source,marine sediment,marine sediment,standardized,marine sediment
945,Isolation Source,fresh water stream,fresh water stream,standardized,stream
945,Isolation Source,bronchoalveolar lavage fluid,bronchoalveolar lavage fluid,standardized,clinical fluid/material
943,Isolation Source,fly,fly,unmapped,
939,Isolation Source,tissue sample,tissue sample,standardized,tissue
939,Isolation Source,Host-associated strain,host associated strain,standardized,metadata descriptor/non-source
933,Isolation Source,recto-vaginal,recto vaginal,standardized,rectovaginal site
932,Sample Type,animal,animal,standardized,fecal/stool swab
931,Isolation Source,urine sample,urine sample,standardized,urine
929,Isolation Source,Invasive,invasive,standardized,metadata descriptor/non-source
924,Isolation Source,respiratory tract,respiratory tract,standardized,respiratory sample
915,Sample Type,Clinical sample,clinical sample,standardized,clinical sample
911,Isolation Source,airway culture,airway culture,standardized,culture
901,Isolation Source,freshwater,freshwater,standardized,freshwater
897,Isolation Source,cow,cow,unmapped,
