synonym,canonical,taxid,confidence,note
Vaccinium corymbosum,Vaccinium corymbosum,69266,high,NCBI Taxonomy name2taxid reviewed import
Siphamia tubifer,Siphamia tubifer,1536898,high,NCBI Taxonomy name2taxid reviewed import
Mytilus galloprovincialis,Mytilus galloprovincialis,29158,high,NCBI Taxonomy name2taxid reviewed import
Vulpes vulpes,Vulpes vulpes,9627,high,NCBI Taxonomy name2taxid reviewed import
Acmispon strigosus,Acmispon strigosus,1240363,high,NCBI Taxonomy name2taxid reviewed import
Ixodes scapularis,Ixodes scapularis,6945,high,NCBI Taxonomy name2taxid reviewed import
Lates calcarifer,Lates calcarifer,8187,high,NCBI Taxonomy name2taxid reviewed import
Musca domestica,Musca domestica,7370,high,NCBI Taxonomy name2taxid reviewed import
Pyrus communis,Pyrus communis,23211,high,NCBI Taxonomy name2taxid reviewed import
Microtus obscurus,Microtus obscurus,523745,high,NCBI Taxonomy name2taxid reviewed import
Bathymodiolus septemdierum,Bathymodiolus septemdierum,220392,high,NCBI Taxonomy name2taxid reviewed import
Larus dominicanus,Larus dominicanus,37036,high,NCBI Taxonomy name2taxid reviewed import
Mangifera indica,Mangifera indica,29780,high,NCBI Taxonomy name2taxid reviewed import
Coffea arabica,Coffea arabica,13443,high,NCBI Taxonomy name2taxid reviewed import
Capreolus capreolus,Capreolus capreolus,9858,high,NCBI Taxonomy name2taxid reviewed import
Streptococcus agalactiae,Streptococcus agalactiae,1311,high,NCBI Taxonomy name2taxid reviewed import
Apodemus flavicollis,Apodemus flavicollis,54292,high,NCBI Taxonomy name2taxid reviewed import
Erinaceus europaeus,Erinaceus europaeus,9365,high,NCBI Taxonomy name2taxid reviewed import
Phalacrocorax auritus,Phalacrocorax auritus,56069,high,NCBI Taxonomy name2taxid reviewed import
Ixodes persulcatus,Ixodes persulcatus,34615,high,NCBI Taxonomy name2taxid reviewed import
Trichosurus vulpecula,Trichosurus vulpecula,9337,high,NCBI Taxonomy name2taxid reviewed import
Syngnathus typhle,Syngnathus typhle,161592,high,NCBI Taxonomy name2taxid reviewed import
Equus sp.,Equus sp.,46122,high,NCBI Taxonomy name2taxid reviewed import
Hoplobatrachus rugulosus,Hoplobatrachus rugulosus,110072,high,NCBI Taxonomy name2taxid reviewed import
Junco hyemalis,Junco hyemalis,40217,high,NCBI Taxonomy name2taxid reviewed import
Dermacentor silvarum,Dermacentor silvarum,543639,high,NCBI Taxonomy name2taxid reviewed import
Glyptotermes sp.,Glyptotermes sp.,90059,high,NCBI Taxonomy name2taxid reviewed import
Clathrolucina costata,Clathrolucina costata,1899378,high,NCBI Taxonomy name2taxid reviewed import
Scorpiurus muricatus,Scorpiurus muricatus,997354,high,NCBI Taxonomy name2taxid reviewed import
Saccharum officinarum,Saccharum officinarum,4547,high,NCBI Taxonomy name2taxid reviewed import
Periplaneta americana,Periplaneta americana,6978,high,NCBI Taxonomy name2taxid reviewed import
Thalassiosira minuscula,Thalassiosira minuscula,385413,high,NCBI Taxonomy name2taxid reviewed import
Xenopsylla cheopis,Xenopsylla cheopis,163159,high,NCBI Taxonomy name2taxid reviewed import
Mediolabrus comicus,Mediolabrus comicus,2590921,high,NCBI Taxonomy name2taxid reviewed import
Canis latrans,Canis latrans,9614,high,NCBI Taxonomy name2taxid reviewed import
Danio rerio,Danio rerio,7955,high,NCBI Taxonomy name2taxid reviewed import
Spinus pinus,Spinus pinus,2201931,high,NCBI Taxonomy name2taxid reviewed import
Phalacrocorax carbo,Phalacrocorax carbo,9209,high,NCBI Taxonomy name2taxid reviewed import
Medicago lupulina,Medicago lupulina,47085,high,NCBI Taxonomy name2taxid reviewed import
Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,74940,high,NCBI Taxonomy name2taxid reviewed import
Dicentrarchus labrax,Dicentrarchus labrax,13489,high,NCBI Taxonomy name2taxid reviewed import
Gliricidia sepium,Gliricidia sepium,167663,high,NCBI Taxonomy name2taxid reviewed import
Melaleuca quinquenervia,Melaleuca quinquenervia,164942,high,NCBI Taxonomy name2taxid reviewed import
Lolium perenne,Lolium perenne,4522,high,NCBI Taxonomy name2taxid reviewed import
Guazuma ulmifolia,Guazuma ulmifolia,93772,high,NCBI Taxonomy name2taxid reviewed import
Pelargonium x hortorum,Pelargonium x hortorum,4031,high,NCBI Taxonomy name2taxid reviewed import
Lactuca sativa,Lactuca sativa,4236,high,NCBI Taxonomy name2taxid reviewed import
Penaeus monodon,Penaeus monodon,6687,high,NCBI Taxonomy name2taxid reviewed import
Larus smithsonianus,Larus smithsonianus,243888,high,NCBI Taxonomy name2taxid reviewed import
White button Mushroom,White button Mushroom,5341,high,NCBI Taxonomy name2taxid reviewed import
Eudocimus albus,Eudocimus albus,371913,high,NCBI Taxonomy name2taxid reviewed import
Skeletonema tropicum,Skeletonema tropicum,267982,high,NCBI Taxonomy name2taxid reviewed import
Cicer reticulatum,Cicer reticulatum,90898,high,NCBI Taxonomy name2taxid reviewed import
Pyropia haitanensis,Pyropia haitanensis,1262161,high,NCBI Taxonomy name2taxid reviewed import
Euprymna scolopes,Euprymna scolopes,6613,high,NCBI Taxonomy name2taxid reviewed import
Cajanus cajan,Cajanus cajan,3821,high,NCBI Taxonomy name2taxid reviewed import
Oncorhynchus kisutch,Oncorhynchus kisutch,8019,high,NCBI Taxonomy name2taxid reviewed import
Caenorhabditis elegans,Caenorhabditis elegans,6239,high,NCBI Taxonomy name2taxid reviewed import
Gossypium hirsutum,Gossypium hirsutum,3635,high,NCBI Taxonomy name2taxid reviewed import
Cervus nippon,Cervus nippon,9863,high,NCBI Taxonomy name2taxid reviewed import
Sorghum bicolor,Sorghum bicolor,4558,high,NCBI Taxonomy name2taxid reviewed import
Montastraea cavernosa,Montastraea cavernosa,63558,high,NCBI Taxonomy name2taxid reviewed import
Epibolus pulchripes,Epibolus pulchripes,1437184,high,NCBI Taxonomy name2taxid reviewed import
