synonym,canonical,taxid,confidence,note
Carcharhinus plumbeus,Carcharhinus plumbeus,7808,high,NCBI Taxonomy name2taxid reviewed import
Haemulon plumierii,Haemulon plumierii,334415,high,NCBI Taxonomy name2taxid reviewed import
Hippocampus erectus,Hippocampus erectus,109281,high,NCBI Taxonomy name2taxid reviewed import
Panulirus penicillatus,Panulirus penicillatus,150433,high,NCBI Taxonomy name2taxid reviewed import
Artemia franciscana,Artemia franciscana,6661,high,NCBI Taxonomy name2taxid reviewed import
Corallium rubrum,Corallium rubrum,142104,high,NCBI Taxonomy name2taxid reviewed import
Azumapecten farreri,Azumapecten farreri,106299,high,NCBI Taxonomy name2taxid reviewed import
Suberites ficus,Suberites ficus,86007,high,NCBI Taxonomy name2taxid reviewed import
Pecten maximus,Pecten maximus,6579,high,NCBI Taxonomy name2taxid reviewed import
Holothuria tubulosa,Holothuria tubulosa,7685,high,NCBI Taxonomy name2taxid reviewed import
Penaeus chinensis,Penaeus chinensis,139456,high,NCBI Taxonomy name2taxid reviewed import
Acropora cytherea,Acropora cytherea,46686,high,NCBI Taxonomy name2taxid reviewed import
Gracilariopsis lemaneiformis,Gracilariopsis lemaneiformis,2782,high,NCBI Taxonomy name2taxid reviewed import
Northern pike,Northern pike,8010,high,NCBI Taxonomy name2taxid reviewed import
Pogonichthys macrolepidotus,Pogonichthys macrolepidotus,86928,high,NCBI Taxonomy name2taxid reviewed import
Holothuria leucospilota,Holothuria leucospilota,206669,high,NCBI Taxonomy name2taxid reviewed import
Halocynthia roretzi,Halocynthia roretzi,7729,high,NCBI Taxonomy name2taxid reviewed import
Mactra quadrangularis,Mactra quadrangularis,120570,high,NCBI Taxonomy name2taxid reviewed import
Hippocampus kuda,Hippocampus kuda,103715,high,NCBI Taxonomy name2taxid reviewed import
Chondrosia reniformis,Chondrosia reniformis,68574,high,NCBI Taxonomy name2taxid reviewed import
Lutjanus erythropterus,Lutjanus erythropterus,211835,high,NCBI Taxonomy name2taxid reviewed import
Lethrinus nebulosus,Lethrinus nebulosus,182658,high,NCBI Taxonomy name2taxid reviewed import
Centropristis striata,Centropristis striata,184440,high,NCBI Taxonomy name2taxid reviewed import
Stichopus ocellatus,Stichopus ocellatus,481839,high,NCBI Taxonomy name2taxid reviewed import
Polititapes rhomboides,Polititapes rhomboides,584776,high,NCBI Taxonomy name2taxid reviewed import
Haliotis tuberculata,Haliotis tuberculata,36103,high,NCBI Taxonomy name2taxid reviewed import
Ruditapes sp.,Ruditapes sp.,2813601,high,NCBI Taxonomy name2taxid reviewed import
Merulina ampliata,Merulina ampliata,154327,high,NCBI Taxonomy name2taxid reviewed import
Keenocardium californiense,Keenocardium californiense,1421200,high,NCBI Taxonomy name2taxid reviewed import
Corbicula fluminea,Corbicula fluminea,45949,high,NCBI Taxonomy name2taxid reviewed import
Caribbean spiny lobster,Caribbean spiny lobster,6737,high,NCBI Taxonomy name2taxid reviewed import
Anguilla bicolor,Anguilla bicolor,61124,high,NCBI Taxonomy name2taxid reviewed import
Solen strictus,Solen strictus,194331,high,NCBI Taxonomy name2taxid reviewed import
Amphiprion frenatus,Amphiprion frenatus,80971,high,NCBI Taxonomy name2taxid reviewed import
Silver sillago,Silver sillago,435225,high,NCBI Taxonomy name2taxid reviewed import
Bathymodiolus sp.,Bathymodiolus sp.,91706,high,NCBI Taxonomy name2taxid reviewed import
Aplysia kurodai,Aplysia kurodai,6501,high,NCBI Taxonomy name2taxid reviewed import
Limnoria tripunctata,Limnoria tripunctata,2172532,high,NCBI Taxonomy name2taxid reviewed import
Mizuhopecten yessoensis,Mizuhopecten yessoensis,6573,high,NCBI Taxonomy name2taxid reviewed import
Osteogaster aenea,Osteogaster aenea,245769,high,NCBI Taxonomy name2taxid reviewed import
Pseudanthias squamipinnis,Pseudanthias squamipinnis,270578,high,NCBI Taxonomy name2taxid reviewed import
Indoaustriella scarlatoi,Indoaustriella scarlatoi,463371,high,NCBI Taxonomy name2taxid reviewed import
Metapenaeus ensis,Metapenaeus ensis,32278,high,NCBI Taxonomy name2taxid reviewed import
Rhina ancylostomus,Rhina ancylostomus,3025902,high,NCBI Taxonomy name2taxid reviewed import
Anisotremus virginicus,Anisotremus virginicus,490245,high,NCBI Taxonomy name2taxid reviewed import
Pycnopodia helianthoides,Pycnopodia helianthoides,7614,high,NCBI Taxonomy name2taxid reviewed import
Ciona savignyi,Ciona savignyi,51511,high,NCBI Taxonomy name2taxid reviewed import
Lamellibrachia columna,Lamellibrachia columna,53616,high,NCBI Taxonomy name2taxid reviewed import
Acanthopagrus latus,Acanthopagrus latus,8177,high,NCBI Taxonomy name2taxid reviewed import
Ulva pertusa,Ulva pertusa,3120,high,NCBI Taxonomy name2taxid reviewed import
Chaetopterus cautus,Chaetopterus cautus,2025166,high,NCBI Taxonomy name2taxid reviewed import
Vibrio hippocampi,Vibrio hippocampi,654686,high,NCBI Taxonomy name2taxid reviewed import
Branchellion lobata,Branchellion lobata,375517,high,NCBI Taxonomy name2taxid reviewed import
Metopus paraes,Metopus paraes,2919890,high,NCBI Taxonomy name2taxid reviewed import
Trimyema sp. strain FRESH,Trimyema sp. strain FRESH,2980489,high,NCBI Taxonomy name2taxid reviewed import
Metopus sp. strain NARRIV,Metopus sp. strain NARRIV,2980491,high,NCBI Taxonomy name2taxid reviewed import
Plagiopyla frontata,Plagiopyla frontata,35117,high,NCBI Taxonomy name2taxid reviewed import
Plagiopyla sp. strain JUDRED,Plagiopyla sp. strain JUDRED,2980486,high,NCBI Taxonomy name2taxid reviewed import
Cacospongia mycofijiensis,Cacospongia mycofijiensis,1162744,high,NCBI Taxonomy name2taxid reviewed import
Kummerowia striata,Kummerowia striata,466223,high,NCBI Taxonomy name2taxid reviewed import
Neptunia oleracea,Neptunia oleracea,196674,high,NCBI Taxonomy name2taxid reviewed import
Lemna sp.,Lemna sp.,2992922,high,NCBI Taxonomy name2taxid reviewed import
Eulemur albifrons,Eulemur albifrons,1215604,high,NCBI Taxonomy name2taxid reviewed import
Geum aleppicum,Geum aleppicum,714473,high,NCBI Taxonomy name2taxid reviewed import
Northern sea lion,Northern sea lion,34886,high,NCBI Taxonomy name2taxid reviewed import
Scutellaria ovata,Scutellaria ovata,2499938,high,NCBI Taxonomy name2taxid reviewed import
Rimicaris exoculata,Rimicaris exoculata,71621,high,NCBI Taxonomy name2taxid reviewed import
Novymonas esmeraldas,Novymonas esmeraldas,1808958,high,NCBI Taxonomy name2taxid reviewed import
Paralichthys adspersus,Paralichthys adspersus,455156,high,NCBI Taxonomy name2taxid reviewed import
Bombus sandersoni,Bombus sandersoni,421272,high,NCBI Taxonomy name2taxid reviewed import
Arundo donax,Arundo donax,35708,high,NCBI Taxonomy name2taxid reviewed import
Haliclona cymaeformis,Haliclona cymaeformis,1385788,high,NCBI Taxonomy name2taxid reviewed import
Photoblepharon palpebratum,Photoblepharon palpebratum,546531,high,NCBI Taxonomy name2taxid reviewed import
Nysius terrestris,Nysius terrestris,2831981,high,NCBI Taxonomy name2taxid reviewed import
Nysius rubescens,Nysius rubescens,2835275,high,NCBI Taxonomy name2taxid reviewed import
Nysius blackburni,Nysius blackburni,2834767,high,NCBI Taxonomy name2taxid reviewed import
Artipe eryx,Artipe eryx,2847368,high,NCBI Taxonomy name2taxid reviewed import
Lobaria retigera,Lobaria retigera,203382,high,NCBI Taxonomy name2taxid reviewed import
Mycale phyllophila,Mycale phyllophila,1325607,high,NCBI Taxonomy name2taxid reviewed import
Carpobrotus edulis,Carpobrotus edulis,379215,high,NCBI Taxonomy name2taxid reviewed import
Oryza latifolia,Oryza latifolia,4534,high,NCBI Taxonomy name2taxid reviewed import
Anopheles arabiensis,Anopheles arabiensis,7173,high,NCBI Taxonomy name2taxid reviewed import
Capsicum pubescens,Capsicum pubescens,113210,high,NCBI Taxonomy name2taxid reviewed import
Calanthe triplicata,Calanthe triplicata,256348,high,NCBI Taxonomy name2taxid reviewed import
Cenchrus sp.,Cenchrus sp.,29693,high,NCBI Taxonomy name2taxid reviewed import
Ornithodoros papillipes,Ornithodoros papillipes,570971,high,NCBI Taxonomy name2taxid reviewed import
Ornithodoros erraticus,Ornithodoros erraticus,265619,high,NCBI Taxonomy name2taxid reviewed import
Bothriocroton concolor,Bothriocroton concolor,65640,high,NCBI Taxonomy name2taxid reviewed import
Amblyomma longirostre,Amblyomma longirostre,251386,high,NCBI Taxonomy name2taxid reviewed import
Alectorobius rudis,Alectorobius rudis,2058922,high,NCBI Taxonomy name2taxid reviewed import
Varanus giganteus,Varanus giganteus,62041,high,NCBI Taxonomy name2taxid reviewed import
Ornithodoros zumpti,Ornithodoros zumpti,1827026,high,NCBI Taxonomy name2taxid reviewed import
Prorocentrum donghaiense,Prorocentrum donghaiense,257771,high,NCBI Taxonomy name2taxid reviewed import
Bald eagle,Bald eagle,52644,high,NCBI Taxonomy name2taxid reviewed import
Mugil cephalus,Mugil cephalus,48193,high,NCBI Taxonomy name2taxid reviewed import
Esox lucius,Esox lucius,8010,high,NCBI Taxonomy name2taxid reviewed import
Acanthamoeba sp. UWET39,Acanthamoeba sp. UWET39,332199,high,NCBI Taxonomy name2taxid reviewed import
Gracilaria blodgettii,Gracilaria blodgettii,203266,high,NCBI Taxonomy name2taxid reviewed import
Sambucus racemosa,Sambucus racemosa,4203,high,NCBI Taxonomy name2taxid reviewed import
Anodorhynchus hyacinthinus,Anodorhynchus hyacinthinus,51900,high,NCBI Taxonomy name2taxid reviewed import
Sigmodon hispidus,Sigmodon hispidus,42415,high,NCBI Taxonomy name2taxid reviewed import
Melipona seminigra,Melipona seminigra,486764,high,NCBI Taxonomy name2taxid reviewed import
Peromyscus maniculatus sonoriensis,Peromyscus maniculatus sonoriensis,372063,high,NCBI Taxonomy name2taxid reviewed import
Pyrrhocoris apterus,Pyrrhocoris apterus,37000,high,NCBI Taxonomy name2taxid reviewed import
Steno bredanensis,Steno bredanensis,46167,high,NCBI Taxonomy name2taxid reviewed import
Puntigrus tetrazona,Puntigrus tetrazona,1606681,high,NCBI Taxonomy name2taxid reviewed import
Takakia lepidozioides,Takakia lepidozioides,37425,high,NCBI Taxonomy name2taxid reviewed import
Gracilaria sp.,Gracilaria sp.,33673,high,NCBI Taxonomy name2taxid reviewed import
Spatoglossum sp.,Spatoglossum sp.,2856307,high,NCBI Taxonomy name2taxid reviewed import
Paulinella chromatophora,Paulinella chromatophora,39717,high,NCBI Taxonomy name2taxid reviewed import
Dolichotis patagonum,Dolichotis patagonum,29091,high,NCBI Taxonomy name2taxid reviewed import
Eurasian beaver,Eurasian beaver,10185,high,NCBI Taxonomy name2taxid reviewed import
Barbary macaque,Barbary macaque,9546,high,NCBI Taxonomy name2taxid reviewed import
Saguinus mystax,Saguinus mystax,9488,high,NCBI Taxonomy name2taxid reviewed import
Erythrocebus patas,Erythrocebus patas,9538,high,NCBI Taxonomy name2taxid reviewed import
Saguinus bicolor,Saguinus bicolor,37588,high,NCBI Taxonomy name2taxid reviewed import
Bycanistes bucinator,Bycanistes bucinator,175844,high,NCBI Taxonomy name2taxid reviewed import
Bradypus torquatus,Bradypus torquatus,227087,high,NCBI Taxonomy name2taxid reviewed import
Hystrix cristata,Hystrix cristata,10137,high,NCBI Taxonomy name2taxid reviewed import
Ateles geoffroyi frontatus,Ateles geoffroyi frontatus,795835,high,NCBI Taxonomy name2taxid reviewed import
Cyanochen cyanoptera,Cyanochen cyanoptera,8865,high,NCBI Taxonomy name2taxid reviewed import
Tragelaphus eurycerus isaaci,Tragelaphus eurycerus isaaci,2878564,high,NCBI Taxonomy name2taxid reviewed import
Pithecia pithecia,Pithecia pithecia,43777,high,NCBI Taxonomy name2taxid reviewed import
Alouatta caraya,Alouatta caraya,9502,high,NCBI Taxonomy name2taxid reviewed import
Common dolphin,Common dolphin,9728,high,NCBI Taxonomy name2taxid reviewed import
Sycon ciliatum,Sycon ciliatum,27933,high,NCBI Taxonomy name2taxid reviewed import
Iresine herbstii,Iresine herbstii,169210,high,NCBI Taxonomy name2taxid reviewed import
Gromphadorhina portentosa,Gromphadorhina portentosa,36953,high,NCBI Taxonomy name2taxid reviewed import
Chondrus crispus,Chondrus crispus,2769,high,NCBI Taxonomy name2taxid reviewed import
Dioscorea sp.,Dioscorea sp.,3402840,high,NCBI Taxonomy name2taxid reviewed import
Suaeda physophora,Suaeda physophora,224186,high,NCBI Taxonomy name2taxid reviewed import
Mauremys annamensis,Mauremys annamensis,204961,high,NCBI Taxonomy name2taxid reviewed import
Chelonoidis denticulatus,Chelonoidis denticulatus,101697,high,NCBI Taxonomy name2taxid reviewed import
Pseudemys sp.,Pseudemys sp.,2060767,high,NCBI Taxonomy name2taxid reviewed import
Pygoscelis antarcticus,Pygoscelis antarcticus,79643,high,NCBI Taxonomy name2taxid reviewed import
Sandhill crane,Sandhill crane,1977160,high,NCBI Taxonomy name2taxid reviewed import
Eulemur fulvus collaris,Eulemur fulvus collaris,47178,high,NCBI Taxonomy name2taxid reviewed import
Testudo hermanni hermanni,Testudo hermanni hermanni,101706,high,NCBI Taxonomy name2taxid reviewed import
Anas sp.,Anas sp.,42806,high,NCBI Taxonomy name2taxid reviewed import
Motacilla alba,Motacilla alba,45807,high,NCBI Taxonomy name2taxid reviewed import
Otus scops,Otus scops,126827,high,NCBI Taxonomy name2taxid reviewed import
Aythya fuligula,Aythya fuligula,219594,high,NCBI Taxonomy name2taxid reviewed import
Ovis orientalis,Ovis orientalis,469796,high,NCBI Taxonomy name2taxid reviewed import
Picea abies,Picea abies,3329,high,NCBI Taxonomy name2taxid reviewed import
Picea likiangensis,Picea likiangensis,308677,high,NCBI Taxonomy name2taxid reviewed import
Arthrocereus glaziovii,Arthrocereus glaziovii,1354779,high,NCBI Taxonomy name2taxid reviewed import
Centaurea sp.,Centaurea sp.,3366681,high,NCBI Taxonomy name2taxid reviewed import
Nostoc flagelliforme,Nostoc flagelliforme,1306274,high,NCBI Taxonomy name2taxid reviewed import
Basella alba,Basella alba,3589,high,NCBI Taxonomy name2taxid reviewed import
Swiss chard,Swiss chard,3555,high,NCBI Taxonomy name2taxid reviewed import
Megachile texana,Megachile texana,1004199,high,NCBI Taxonomy name2taxid reviewed import
Shorea obtusa,Shorea obtusa,292019,high,NCBI Taxonomy name2taxid reviewed import
Syzygium jambos,Syzygium jambos,334483,high,NCBI Taxonomy name2taxid reviewed import
Chrysophyllum cainito,Chrysophyllum cainito,221251,high,NCBI Taxonomy name2taxid reviewed import
Libidibia coriaria,Libidibia coriaria,321550,high,NCBI Taxonomy name2taxid reviewed import
Cinara strobi,Cinara strobi,230869,high,NCBI Taxonomy name2taxid reviewed import
Pinus sylvestris,Pinus sylvestris,3349,high,NCBI Taxonomy name2taxid reviewed import
Crotalaria pumila,Crotalaria pumila,247889,high,NCBI Taxonomy name2taxid reviewed import
Melissodes sp.,Melissodes sp.,81083,high,NCBI Taxonomy name2taxid reviewed import
Prorocentrum minimum,Prorocentrum minimum,39449,high,NCBI Taxonomy name2taxid reviewed import
Paramecium primaurelia,Paramecium primaurelia,5886,high,NCBI Taxonomy name2taxid reviewed import
Ornithodoros moubata,Ornithodoros moubata,6938,high,NCBI Taxonomy name2taxid reviewed import
Leporidae sp.,Leporidae sp.,1664813,high,NCBI Taxonomy name2taxid reviewed import
Vulpes sp.,Vulpes sp.,30540,high,NCBI Taxonomy name2taxid reviewed import
Euplotes petzi,Euplotes petzi,1156992,high,NCBI Taxonomy name2taxid reviewed import
Myocastor coypus,Myocastor coypus,10157,high,NCBI Taxonomy name2taxid reviewed import
Dermacentor marginatus,Dermacentor marginatus,49202,high,NCBI Taxonomy name2taxid reviewed import
Microtus guentheri,Microtus guentheri,269655,high,NCBI Taxonomy name2taxid reviewed import
Least weasel,Least weasel,36239,high,NCBI Taxonomy name2taxid reviewed import
Mustela nivalis,Mustela nivalis,36239,high,NCBI Taxonomy name2taxid reviewed import
Allactaga major,Allactaga major,233182,high,NCBI Taxonomy name2taxid reviewed import
Spermophilus major,Spermophilus major,99843,high,NCBI Taxonomy name2taxid reviewed import
Oenanthe isabellina,Oenanthe isabellina,358819,high,NCBI Taxonomy name2taxid reviewed import
Porcellio dilatatus petiti,Porcellio dilatatus petiti,96811,high,NCBI Taxonomy name2taxid reviewed import
Kaempferia marginata,Kaempferia marginata,340432,high,NCBI Taxonomy name2taxid reviewed import
Selaginella selaginoides,Selaginella selaginoides,69996,high,NCBI Taxonomy name2taxid reviewed import
Codonopsis clematidea,Codonopsis clematidea,942849,high,NCBI Taxonomy name2taxid reviewed import
Arthrospira sp.,Arthrospira sp.,35824,high,NCBI Taxonomy name2taxid reviewed import
Treponema pallidum subsp. pallidum SS14,Treponema pallidum subsp. pallidum SS14,455434,high,NCBI Taxonomy name2taxid reviewed import
Onychostruthus taczanowskii,Onychostruthus taczanowskii,356909,high,NCBI Taxonomy name2taxid reviewed import
Coendou prehensilis,Coendou prehensilis,187985,high,NCBI Taxonomy name2taxid reviewed import
Dioscorea luzonensis,Dioscorea luzonensis,2052761,high,NCBI Taxonomy name2taxid reviewed import
Sinocyclocheilus grahami,Sinocyclocheilus grahami,75366,high,NCBI Taxonomy name2taxid reviewed import
Apodemus speciosus,Apodemus speciosus,105296,high,NCBI Taxonomy name2taxid reviewed import
Cephalotaxus fortunei,Cephalotaxus fortunei,66169,high,NCBI Taxonomy name2taxid reviewed import
Suaeda corniculata,Suaeda corniculata,224161,high,NCBI Taxonomy name2taxid reviewed import
Chrysomallon squamiferum,Chrysomallon squamiferum,216257,high,NCBI Taxonomy name2taxid reviewed import
Bruguiera gymnorhiza,Bruguiera gymnorhiza,39984,high,NCBI Taxonomy name2taxid reviewed import
Paramecium polycaryum,Paramecium polycaryum,109354,high,NCBI Taxonomy name2taxid reviewed import
Boleophthalmus pectinirostris,Boleophthalmus pectinirostris,150288,high,NCBI Taxonomy name2taxid reviewed import
Pyractomena angulata,Pyractomena angulata,454443,high,NCBI Taxonomy name2taxid reviewed import
Phytoseiulus persimilis,Phytoseiulus persimilis,44414,high,NCBI Taxonomy name2taxid reviewed import
Ruzenia spermoides,Ruzenia spermoides,260661,high,NCBI Taxonomy name2taxid reviewed import
Tamarix ramosissima,Tamarix ramosissima,189803,high,NCBI Taxonomy name2taxid reviewed import
Coreoleuciscus splendidus,Coreoleuciscus splendidus,354116,high,NCBI Taxonomy name2taxid reviewed import
Onchidium reevesii,Onchidium reevesii,2547651,high,NCBI Taxonomy name2taxid reviewed import
Anthyllis vulneraria,Anthyllis vulneraria,118891,high,NCBI Taxonomy name2taxid reviewed import
Schizaphis graminum,Schizaphis graminum,13262,high,NCBI Taxonomy name2taxid reviewed import
Baizongia pistaciae,Baizongia pistaciae,198322,high,NCBI Taxonomy name2taxid reviewed import
Cinara tujafilina,Cinara tujafilina,198323,high,NCBI Taxonomy name2taxid reviewed import
Acyrthosiphon kondoi,Acyrthosiphon kondoi,34664,high,NCBI Taxonomy name2taxid reviewed import
Uroleucon ambrosiae,Uroleucon ambrosiae,87311,high,NCBI Taxonomy name2taxid reviewed import
Aphis glycines,Aphis glycines,307491,high,NCBI Taxonomy name2taxid reviewed import
Melanaphis sacchari,Melanaphis sacchari,742174,high,NCBI Taxonomy name2taxid reviewed import
Rhopalosiphum maidis,Rhopalosiphum maidis,43146,high,NCBI Taxonomy name2taxid reviewed import
Therioaphis trifolii,Therioaphis trifolii,935269,high,NCBI Taxonomy name2taxid reviewed import
Sarucallis kahawaluokalani,Sarucallis kahawaluokalani,527939,high,NCBI Taxonomy name2taxid reviewed import
Thelaxes californica,Thelaxes californica,1315996,high,NCBI Taxonomy name2taxid reviewed import
Rhopalosiphum padi,Rhopalosiphum padi,40932,high,NCBI Taxonomy name2taxid reviewed import
Muscaphis stroyani,Muscaphis stroyani,527780,high,NCBI Taxonomy name2taxid reviewed import
Macrosiphoniella sanborni,Macrosiphoniella sanborni,713927,high,NCBI Taxonomy name2taxid reviewed import
Macrosiphum gaurae,Macrosiphum gaurae,527749,high,NCBI Taxonomy name2taxid reviewed import
Lipaphis pseudobrassicae,Lipaphis pseudobrassicae,511022,high,NCBI Taxonomy name2taxid reviewed import
Hyadaphis tataricae,Hyadaphis tataricae,330428,high,NCBI Taxonomy name2taxid reviewed import
Hyperomyzus lactucae,Hyperomyzus lactucae,330460,high,NCBI Taxonomy name2taxid reviewed import
Brachycaudus cardui,Brachycaudus cardui,224526,high,NCBI Taxonomy name2taxid reviewed import
Artemisaphis artemisicola,Artemisaphis artemisicola,527543,high,NCBI Taxonomy name2taxid reviewed import
Sitobion avenae,Sitobion avenae,44664,high,NCBI Taxonomy name2taxid reviewed import
Aphis nerii,Aphis nerii,100479,high,NCBI Taxonomy name2taxid reviewed import
Aphis nasturtii,Aphis nasturtii,400569,high,NCBI Taxonomy name2taxid reviewed import
Acyrthosiphon lactucae,Acyrthosiphon lactucae,527514,high,NCBI Taxonomy name2taxid reviewed import
Aphis helianthi,Aphis helianthi,224533,high,NCBI Taxonomy name2taxid reviewed import
Macrosiphum euphorbiae,Macrosiphum euphorbiae,13131,high,NCBI Taxonomy name2taxid reviewed import
Uroleucon sonchi,Uroleucon sonchi,87322,high,NCBI Taxonomy name2taxid reviewed import
Hormaphis cornu,Hormaphis cornu,30177,high,NCBI Taxonomy name2taxid reviewed import
Chaitophorus viminalis,Chaitophorus viminalis,12999,high,NCBI Taxonomy name2taxid reviewed import
Pemphigus obesinymphae,Pemphigus obesinymphae,121825,high,NCBI Taxonomy name2taxid reviewed import
Macrosiphum albifrons,Macrosiphum albifrons,330458,high,NCBI Taxonomy name2taxid reviewed import
Acyrthosiphon caraganae,Acyrthosiphon caraganae,527513,high,NCBI Taxonomy name2taxid reviewed import
Shivaphis celti,Shivaphis celti,133107,high,NCBI Taxonomy name2taxid reviewed import
Ceratoglyphina bambusae,Ceratoglyphina bambusae,30170,high,NCBI Taxonomy name2taxid reviewed import
Chaitoregma tattakana,Chaitoregma tattakana,41909,high,NCBI Taxonomy name2taxid reviewed import
Ceratovacuna keduensis,Ceratovacuna keduensis,1217618,high,NCBI Taxonomy name2taxid reviewed import
Tuberolachnus salignus,Tuberolachnus salignus,96551,high,NCBI Taxonomy name2taxid reviewed import
Greenidea ficicola,Greenidea ficicola,796229,high,NCBI Taxonomy name2taxid reviewed import
Mollitrichosiphum nigrofasciatum,Mollitrichosiphum nigrofasciatum,133094,high,NCBI Taxonomy name2taxid reviewed import
Mindarus japonicus,Mindarus japonicus,796239,high,NCBI Taxonomy name2taxid reviewed import
Neophyllaphis podocarpi,Neophyllaphis podocarpi,133096,high,NCBI Taxonomy name2taxid reviewed import
Neophyllaphis varicolor,Neophyllaphis varicolor,2008467,high,NCBI Taxonomy name2taxid reviewed import
Taiwanaphis decaspermi,Taiwanaphis decaspermi,2572967,high,NCBI Taxonomy name2taxid reviewed import
Meitanaphis microgallis,Meitanaphis microgallis,509175,high,NCBI Taxonomy name2taxid reviewed import
Floraphis meitanensis,Floraphis meitanensis,509180,high,NCBI Taxonomy name2taxid reviewed import
Nurudea shiraii,Nurudea shiraii,196481,high,NCBI Taxonomy name2taxid reviewed import
Chaetogeoica yunlongensis,Chaetogeoica yunlongensis,3080740,high,NCBI Taxonomy name2taxid reviewed import
Nurudea ibofushi,Nurudea ibofushi,1397537,high,NCBI Taxonomy name2taxid reviewed import
Kaburagia rhusicola rhusicola,Kaburagia rhusicola rhusicola,384839,high,NCBI Taxonomy name2taxid reviewed import
Meitanaphis elongallis,Meitanaphis elongallis,384841,high,NCBI Taxonomy name2taxid reviewed import
Kaburagia rhusicola ensigallis,Kaburagia rhusicola ensigallis,384836,high,NCBI Taxonomy name2taxid reviewed import
Meitanaphis flavogallis,Meitanaphis flavogallis,509174,high,NCBI Taxonomy name2taxid reviewed import
Floraphis choui,Floraphis choui,509179,high,NCBI Taxonomy name2taxid reviewed import
Schlechtendalia peitan,Schlechtendalia peitan,384844,high,NCBI Taxonomy name2taxid reviewed import
Pterocomma populeum,Pterocomma populeum,135959,high,NCBI Taxonomy name2taxid reviewed import
Uroleucon formosanum,Uroleucon formosanum,796250,high,NCBI Taxonomy name2taxid reviewed import
Eriosoma harunire,Eriosoma harunire,1308590,high,NCBI Taxonomy name2taxid reviewed import
Tetraneura sorini,Tetraneura sorini,425174,high,NCBI Taxonomy name2taxid reviewed import
Tetraneura akinire,Tetraneura akinire,460822,high,NCBI Taxonomy name2taxid reviewed import
Cutleria multifida,Cutleria multifida,74475,high,NCBI Taxonomy name2taxid reviewed import
Lasioglossum viridatum,Lasioglossum viridatum,1035998,high,NCBI Taxonomy name2taxid reviewed import
Neogriphoneura sordida,Neogriphoneura sordida,745184,high,NCBI Taxonomy name2taxid reviewed import
Fasciola hepatica,Fasciola hepatica,6192,high,NCBI Taxonomy name2taxid reviewed import
Podisus maculiventris,Podisus maculiventris,29025,high,NCBI Taxonomy name2taxid reviewed import
Dendroctonus rhizophagus,Dendroctonus rhizophagus,77169,high,NCBI Taxonomy name2taxid reviewed import
Coryphodema tristis,Coryphodema tristis,1637802,high,NCBI Taxonomy name2taxid reviewed import
Vaccinium parvifolium,Vaccinium parvifolium,180766,high,NCBI Taxonomy name2taxid reviewed import
Dendroctonus mexicanus,Dendroctonus mexicanus,77163,high,NCBI Taxonomy name2taxid reviewed import
Serendipita indica,Serendipita indica,65672,high,NCBI Taxonomy name2taxid reviewed import
Achillea ptarmica,Achillea ptarmica,133233,high,NCBI Taxonomy name2taxid reviewed import
Euonymus sp.,Euonymus sp.,3345104,high,NCBI Taxonomy name2taxid reviewed import
Corethrodendron multijugum,Corethrodendron multijugum,1402425,high,NCBI Taxonomy name2taxid reviewed import
Vitis riparia,Vitis riparia,96939,high,NCBI Taxonomy name2taxid reviewed import
Rosa gallica,Rosa gallica,74632,high,NCBI Taxonomy name2taxid reviewed import
Nostoc sp. FACHB-973,Nostoc sp. FACHB-973,2692844,high,NCBI Taxonomy name2taxid reviewed import
Epicoccum sorghinum,Epicoccum sorghinum,749593,high,NCBI Taxonomy name2taxid reviewed import
Urena lobata,Urena lobata,263848,high,NCBI Taxonomy name2taxid reviewed import
Pluchea indica,Pluchea indica,175518,high,NCBI Taxonomy name2taxid reviewed import
Gongora gratulabunda,Gongora gratulabunda,125123,high,NCBI Taxonomy name2taxid reviewed import
Odontobutis platycephala,Odontobutis platycephala,325276,high,NCBI Taxonomy name2taxid reviewed import
Lasioglossum nymphale,Lasioglossum nymphale,1039938,high,NCBI Taxonomy name2taxid reviewed import
Mimachlamys nobilis,Mimachlamys nobilis,106276,high,NCBI Taxonomy name2taxid reviewed import
Cyclostephanos tholiformis,Cyclostephanos tholiformis,382380,high,NCBI Taxonomy name2taxid reviewed import
Verticillium dahliae,Verticillium dahliae,27337,high,NCBI Taxonomy name2taxid reviewed import
Pectinatella magnifica,Pectinatella magnifica,350071,high,NCBI Taxonomy name2taxid reviewed import
Fagus sp.,Fagus sp.,2909990,high,NCBI Taxonomy name2taxid reviewed import
Populus tremuloides,Populus tremuloides,3693,high,NCBI Taxonomy name2taxid reviewed import
Mesoplodon bidens,Mesoplodon bidens,48745,high,NCBI Taxonomy name2taxid reviewed import
Octopus vulgaris,Octopus vulgaris,6645,high,NCBI Taxonomy name2taxid reviewed import
Pocillopora grandis,Pocillopora grandis,2759717,high,NCBI Taxonomy name2taxid reviewed import
Salicornia hispanica,Salicornia hispanica,1325233,high,NCBI Taxonomy name2taxid reviewed import
Acinetobacter junii,Acinetobacter junii,40215,high,NCBI Taxonomy name2taxid reviewed import
Burkholderia gladioli,Burkholderia gladioli,28095,high,NCBI Taxonomy name2taxid reviewed import
Schizymenia sp.,Schizymenia sp.,3383211,high,NCBI Taxonomy name2taxid reviewed import
Magicicada cassini,Magicicada cassini,38086,high,NCBI Taxonomy name2taxid reviewed import
