isolation_source_sd,assembly_count,recommended_action
Tissue SUPERFICIAL HUMERAL MEMBRANE AND SUTURE No. 1,1,route_to_sample_type
Tissue SUPERFICIAL HUMERAL MEMBRANE No. 2,1,route_to_sample_type
Tissue Shoulder Right GLENOID No. 2,1,route_to_sample_type
Tissue Shoulder Right HUMERAL MEMBRANE No. 1,1,route_to_sample_type
Tissue Shoulder Right SUTURE,1,route_to_sample_type
Tissue Shoulder humeral membrane,1,route_to_sample_type
Tissue Specimen,1,route_to_sample_type
Tissue ample,1,route_to_sample_type
Tissue bit,1,route_to_sample_type
Tissue elbow,1,route_to_sample_type
Tissue from burn site,1,route_to_sample_type
Tissue from hand,1,route_to_sample_type
Tissue gall bladder,1,route_to_sample_type
Tissue intraoral flap,1,route_to_sample_type
Tissue left fore d5,1,route_to_sample_type
Tissue left glenoid,1,route_to_sample_type
Tissue left humeral,1,route_to_sample_type
Tissue necrose,1,route_to_sample_type
Tissue of rabbit,1,route_to_sample_type
Tissue right buttock,1,route_to_sample_type
Tissue right fore d5,1,route_to_sample_type
Tissue right forefoot,1,route_to_sample_type
Tissue right toe,1,route_to_sample_type
Tissue(wound),1,route_to_sample_type
"Tissue, Buttock",1,route_to_sample_type
"Tissue, Buttock, Left",1,route_to_sample_type
"Tissue, Canthus",1,route_to_sample_type
"Tissue, Empyema",1,route_to_sample_type
"Tissue, Eyelid",1,route_to_sample_type
"Tissue, Fibula",1,route_to_sample_type
"Tissue, Flank",1,route_to_sample_type
"Tissue, Haematoma",1,route_to_sample_type
"Tissue, Heel",1,route_to_sample_type
"Tissue, Left Ischium",1,route_to_sample_type
"Tissue, Lft Anterior Thigh",1,route_to_sample_type
"Tissue, Mastoid",1,route_to_sample_type
"Tissue, Neck",1,route_to_sample_type
"Tissue, Orbit",1,route_to_sample_type
"Tissue, Scrotum",1,route_to_sample_type
"Tissue, Shin",1,route_to_sample_type
"Tissue, Shouler, Right",1,route_to_sample_type
"Tissue, Spine",1,route_to_sample_type
"Tissue, Thoracic",1,route_to_sample_type
"Tissue, Vocal Cord",1,route_to_sample_type
"Tissue, femur",1,route_to_sample_type
Tissue: Back,1,route_to_sample_type
Tissue:Adult_ovaries:EL:1 extraction1_seq1 channel_1,1,route_to_sample_type
Tissue; Chest Wall,1,route_to_sample_type
Tissue; EJ junction fat,1,route_to_sample_type
Tissue; Left heel,1,route_to_sample_type
Tissue; hip right,1,route_to_sample_type
Tissue; left ethmoid,1,route_to_sample_type
Tissue; left shoulder A-C joint,1,route_to_sample_type
Tissue; right elbow,1,route_to_sample_type
Tissue; right ischeal tuberosity,1,route_to_sample_type
Toe Tissue ulcer,1,route_to_sample_type
Toe tissue,1,route_to_sample_type
Ulcerated tissue,1,route_to_sample_type
Upper arm muscle Tissue,1,route_to_sample_type
Vocal Cord Tissue,1,route_to_sample_type
Vulture faeces,1,route_to_sample_type
WW9.4_16S_Mantle Tissue,1,route_to_sample_type
WW9.5_hsp60_Digestive Tissue,1,route_to_sample_type
Wrist Tissue,1,route_to_sample_type
Zoo Ostrava (mixed sample),1,route_to_non_source_descriptor
affected cabbage tissue,1,route_to_sample_type
alpaca tissue,1,route_to_sample_type
alveolar lavage,1,route_to_sample_type
ankle tissue,1,route_to_sample_type
appendix tissue,1,route_to_sample_type
arm tissue,1,route_to_sample_type
bat tissue,1,route_to_sample_type
bladder tissue,1,route_to_sample_type
bovine necropsy tissue pool,1,route_to_sample_type
bovine tissue pool (Bos taurus),1,route_to_sample_type
broncheoalveolar lavage,1,route_to_sample_type
broncho-alveolar lavage (BAL),1,route_to_sample_type
broncho-aveolar lavage,1,route_to_sample_type
bronchoavelar lavage,1,route_to_sample_type
bronchoscopy tissue,1,route_to_sample_type
brown adipose tissue,1,route_to_sample_type
