assembly_accession	biosample	organism	migrated_entries
GCA_001083305.1	SAMEA1031653	Neisseria meningitidis	3
GCA_021565855.1	SAMN25221480	Salmonella enterica	2
GCA_031846745.1	SAMN37429352	Mammaliicoccus sciuri	2
GCA_032575415.1	SAMN11391550	Escherichia coli	1
GCA_034915285.1	SAMN14437228	Streptococcus pyogenes	3
GCA_034918925.1	SAMN14437326	Streptococcus pyogenes	3
GCA_045191425.1	SAMN32815876	Neisseria meningitidis	3
GCA_048865185.1	SAMN47512546	Neisseria meningitidis	3
GCA_051791725.1	SAMN41834380	Neisseria meningitidis	3
GCA_009725545.1	SAMN13009020	Staphylococcus aureus	3
GCA_022522905.1	SAMN25989848	Klebsiella pneumoniae	1
GCA_022534155.1	SAMN25988895	Klebsiella pneumoniae	1
GCA_022532485.1	SAMN25989140	Klebsiella pneumoniae	1
GCA_022546375.1	SAMN05437818	Escherichia coli	3
GCA_034901325.1	SAMN14440457	Streptococcus pyogenes	3
GCA_034901805.1	SAMN14437338	Streptococcus pyogenes	3
GCA_034904885.1	SAMN14436734	Streptococcus pyogenes	3
GCA_037275835.1	SAMN29407308	Neisseria meningitidis	3
GCA_043791425.1	SAMN30571275	Enterococcus faecium	3
GCA_047896015.1	SAMN46423269	Klebsiella pneumoniae	3
GCA_047894095.1	SAMN46423211	Klebsiella pneumoniae	3
GCA_050134315.1	SAMN44025936	Streptococcus pyogenes	3
GCA_052517805.1	SAMN43306225	Escherichia coli	3
GCA_054584915.1	SAMN51530850	Streptococcus agalactiae	3
GCA_057608745.1	SAMN50509825	Candidatus Flemingiibacterium sp.	1
GCA_900053835.1	SAMEA807298	Streptococcus pneumoniae	3
GCA_901214975.1	SAMEA2204158	Streptococcus pneumoniae	3
GCA_901251355.1	SAMEA3354131	Streptococcus pneumoniae	3
GCA_901273575.1	SAMEA2554250	Streptococcus pneumoniae	3
GCA_901273885.1	SAMEA2204102	Streptococcus pneumoniae	3
GCA_901293115.1	SAMEA3389668	Streptococcus pneumoniae	3
GCA_901297835.1	SAMEA4387908	Streptococcus pneumoniae	3
GCA_901299895.1	SAMEA3389880	Streptococcus pneumoniae	3
GCA_901310335.1	SAMEA4388049	Streptococcus pneumoniae	3
GCA_901315665.1	SAMEA4388080	Streptococcus pneumoniae	3
GCA_901320995.1	SAMEA3353976	Streptococcus pneumoniae	3
GCA_913775655.1	SAMEA8943759	uncultured Pantoea sp.	1
GCA_002132885.1	SAMN04147145	Listeria monocytogenes	3
GCA_002740915.1	SAMN04931812	Listeria monocytogenes	3
GCA_003835695.1	SAMN07424142	Pseudomonas aeruginosa	3
GCA_004391545.1	SAMN02950446	Listeria monocytogenes	3
GCA_004516245.1	SAMN02854685	Listeria monocytogenes	3
GCA_004549805.1	SAMN11229786	Listeria monocytogenes	2
GCA_004586995.1	SAMN06045429	Listeria monocytogenes	3
GCA_004608505.1	SAMN07508566	Listeria monocytogenes	3
GCA_005867465.1	SAMN11656163	Salmonella enterica	2
GCA_005941545.1	SAMN03199624	Salmonella enterica	2
GCA_006218825.1	SAMN05292341	Listeria monocytogenes	3
GCA_007113625.1	SAMN10618179	Acinetobacter baumannii	3
GCA_012050205.1	SAMN14450173	Salmonella enterica subsp. enterica serovar Enteritidis	3
GCA_014966135.1	SAMN16553653	Salmonella enterica	2
GCA_017655375.1	SAMN12787934	Streptococcus suis	2
GCA_020557275.1	SAMN16124468	Enterococcus faecium	1
GCA_021327655.1	SAMN21499709	Staphylococcus aureus	3
GCA_022658215.1	SAMN26722428	Listeria monocytogenes	2
GCA_023197265.1	SAMN26026469	Staphylococcus aureus	3
GCA_023631185.1	SAMN26211604	Caballeronia sp. NCTM5	3
GCA_029444675.1	SAMN14049584	Escherichia coli	3
GCA_029853655.1	SAMN32966862	Staphylococcus aureus	3
GCA_031064445.1	SAMD00497576	Klebsiella pneumoniae subsp. pneumoniae	3
GCA_031846815.1	SAMN37429351	Mammaliicoccus sciuri	2
GCA_040523365.1	SAMN42336879	Listeria monocytogenes	2
GCA_040525965.1	SAMN42336888	Listeria monocytogenes	2
GCA_043267965.1	SAMN44234707	Salmonella enterica	1
GCA_043271545.1	SAMN44234606	Salmonella enterica	1
GCA_043272005.1	SAMN44234592	Salmonella enterica	1
GCA_043274925.1	SAMN44236906	Salmonella enterica	1
GCA_043276165.1	SAMN44236871	Salmonella enterica	1
GCA_043278785.1	SAMN44236796	Salmonella enterica	1
GCA_043280585.1	SAMN44236743	Salmonella enterica	1
GCA_043281665.1	SAMN44236716	Salmonella enterica	1
GCA_047984825.1	SAMN45227828	Pseudomonas aeruginosa	1
GCA_050862535.1	SAMN46214419	Pseudomonas aeruginosa	3
GCA_050870595.1	SAMN46214487	Pseudomonas aeruginosa	3
GCA_051724605.1	SAMN50304080	Listeria monocytogenes	3
GCA_051795825.1	SAMN41834179	Neisseria meningitidis	3
GCA_052084335.1	SAMN50638690	Salmonella enterica	2
GCA_052392755.1	SAMN50721693	Acinetobacter baumannii	3
GCA_052682255.1	SAMN51206709	Pseudomonas sp. 32A	3
GCA_053760195.1	SAMN53316657	Enterococcus sulfureus	4
GCA_054130735.1	SAMN27610172	Pseudomonas sp. D2-5	3
GCA_054560575.1	SAMN54138509	Staphylococcus aureus	3
GCA_055781305.1	SAMN56442898	Listeria monocytogenes	2
GCA_055781785.1	SAMN56443242	Listeria innocua	2
GCA_056642055.1	SAMN56831914	Acinetobacter sp. 129952	3
GCA_900181335.1	SAMEA2609465	Klebsiella pneumoniae subsp. pneumoniae	3
GCA_901224855.1	SAMEA2553983	Streptococcus pneumoniae	3
GCA_901229665.1	SAMEA3354037	Streptococcus pneumoniae	3
GCA_901230015.1	SAMEA3354043	Streptococcus pneumoniae	3
GCA_901254445.1	SAMEA2554141	Streptococcus pneumoniae	3
GCA_901270175.1	SAMEA2658730	Streptococcus pneumoniae	3
GCA_901279005.1	SAMEA2553747	Streptococcus pneumoniae	3
GCA_964189195.1	SAMEA115461426	Enterococcus lactis	2
GCA_964189995.1	SAMEA115461209	Enterococcus lactis	2
GCA_964190475.1	SAMEA114863405	Enterococcus faecium	2
GCA_964191265.1	SAMEA115461241	Enterococcus lactis	2
GCA_964191465.1	SAMEA114863377	Enterococcus faecium	2
GCA_964191925.1	SAMEA115461173	Enterococcus faecium	2
GCA_964192495.1	SAMEA115461359	Enterococcus faecium	2
GCA_964192975.1	SAMEA115461256	Enterococcus lactis	2
GCA_964193215.1	SAMEA114863388	Enterococcus lactis	2
GCA_964193255.1	SAMEA115461257	Enterococcus lactis	2
GCA_964193435.1	SAMEA115461187	Enterococcus lactis	2
GCA_001332975.1	SAMEA751440	Bordetella pertussis	2
GCA_000803945.1	SAMN03177480	Mycobacterium tuberculosis	3
GCA_000804065.1	SAMN03177488	Mycobacterium tuberculosis	3
GCA_002567185.1	SAMN07598358	Bacillus cereus	3
GCA_002568085.1	SAMN07598266	Bacillus thuringiensis	3
GCA_001721805.1	SAMN04914381	Pseudomonas aeruginosa	3
GCA_000231155.2	SAMN02471593	Mycobacteroides abscessus 47J26	3
GCA_004319685.1	SAMN10659766	Bifidobacterium breve	2
GCA_000817825.1	SAMN02946480	Vibrio owensii 47666-1	2
GCA_003186615.1	SAMN09269477	Enterobacter hormaechei	1
GCA_002761955.1	SAMN07956184	Fusobacterium pseudoperiodonticum	2
GCA_003859635.1	SAMN10055696	Streptococcus agalactiae	3
GCA_018893075.1	SAMEA5849436	Clostridioides difficile	2
GCA_013141765.1	SAMN13054614	Paenibacillus foliorum	3
GCA_015015995.1	SAMN14091655	Listeria monocytogenes	1
GCA_015019055.1	SAMN14091643	Listeria monocytogenes	1
GCA_015024265.1	SAMN15701915	Nocardioides lijunqiniae	3
GCA_018801025.1	SAMN11128110	Rathayibacter toxicus	4
GCA_017355635.1	SAMN14448372	Dolichospermum sp. JUN01	2
GCA_018985975.1	SAMN19653811	Staphylococcus aureus	3
GCA_018726825.1	SAMN19222483	Pantoea sp. B270	3
GCA_021206835.1	SAMN24102739	Escherichia coli	2
GCA_021207975.1	SAMN24102747	Escherichia coli	2
GCA_022534555.1	SAMN25988779	Escherichia coli	3
GCA_022911935.1	SAMN12601612	Escherichia coli	2
GCA_021308875.1	SAMN14969740	Aggregatibacter actinomycetemcomitans	2
GCA_021733235.1	SAMN23345166	Serratia marcescens	3
GCA_023912135.1	SAMN11338956	Pseudomonas aeruginosa	3
GCA_022520505.1	SAMN25989511	Escherichia coli	3
GCA_022534515.1	SAMN25988790	Klebsiella pneumoniae	3
GCA_022536095.1	SAMN25989623	Escherichia coli	3
GCA_025460765.1	SAMN29051388	Micromonospora sp. MA102	4
GCA_026966875.1	SAMN32123083	Bacteroides caccae	3
GCA_025192145.1	SAMN15461254	Elizabethkingia anophelis	3
GCA_025193125.1	SAMN15461205	Elizabethkingia anophelis	3
GCA_030293355.1	SAMN32360957	Staphylococcus aureus	3
GCA_030503955.1	SAMN28811445	Neisseria meningitidis	3
GCA_030548545.1	SAMN36605252	Pantoea phytobeneficialis	4
GCA_028538205.1	SAMEA7997340	Staphylococcus aureus	3
GCA_028538425.1	SAMEA7997240	Staphylococcus aureus	3
GCA_033091555.1	SAMN11339309	Pseudomonas aeruginosa	3
GCA_033336875.1	SAMN37358284	Klebsiella pneumoniae	3
GCA_034093375.1	SAMN38300325	Treponema pallidum subsp. pallidum	3
GCA_035028965.1	SAMEA8426141	Streptococcus pyogenes	2
GCA_031847055.1	SAMN37429338	Staphylococcus haemolyticus	2
GCA_036366835.1	SAMN38380759	Streptococcus pneumoniae	3
GCA_036366875.1	SAMN38380757	Streptococcus pneumoniae	3
GCA_037182845.1	SAMEA2063866	Neisseria meningitidis	3
GCA_036763765.1	SAMN39962193	Enterobacter hormaechei	2
GCA_036906295.1	SAMN40026086	Cutibacterium avidum	2
GCA_034421635.1	SAMN13291823	Clostridium perfringens	1
GCA_044469805.1	SAMN44011840	Escherichia coli	2
GCA_036906115.1	SAMN40026094	Cutibacterium avidum	2
GCA_050308255.1	SAMN39406107	Clavibacter nebraskensis	1
GCA_050817255.1	SAMN37855247	Lysinibacillus capsici	2
GCA_051863815.1	SAMN36758208	Streptococcus agalactiae	3
GCA_051898935.1	SAMN45100441	Yersinia enterocolitica	2
GCA_051949975.1	SAMN41787740	Xanthomonas citri pv. mangiferaeindicae	3
GCA_052084455.1	SAMN50638627	Salmonella enterica	2
GCA_051786745.1	SAMN41834117	Neisseria meningitidis	3
GCA_052383125.1	SAMN50770429	Klebsiella pneumoniae	3
GCA_052394045.1	SAMN50721658	Acinetobacter baumannii	3
GCA_000779075.1	SAMN02801897	Escherichia coli	3
GCA_001431045.1	SAMD00042493	Streptococcus orisasini	2
GCA_001535725.1	SAMN03992219	Pseudomonas syringae pv. syringae	4
GCA_001915185.1	SAMN05717205	Bifidobacteriales bacterium 56_10	2
GCA_001969615.1	SAMN04500812	Enterococcus faecium	3
GCA_002097135.1	SAMN06546689	Staphylococcus aureus	2
GCA_003835865.1	SAMN07424132	Pseudomonas aeruginosa	3
GCA_003840055.1	SAMN07423906	Pseudomonas aeruginosa	3
GCA_003863855.1	SAMN10484663	Pseudomonas aeruginosa	3
GCA_013039385.1	SAMN07682609	Escherichia coli	3
GCA_013181875.1	SAMN14278138	Staphylococcus aureus	3
GCA_015452725.1	SAMEA5367984	Enterococcus faecium	2
GCA_015454285.1	SAMEA5367851	Enterococcus faecium	2
GCA_015455745.1	SAMEA5368454	Enterococcus faecium	2
GCA_015456565.1	SAMEA5368428	Enterococcus faecium	2
GCA_015457025.1	SAMEA5368425	Enterococcus faecium	2
GCA_015457375.1	SAMEA5368554	Enterococcus faecium	2
GCA_015457815.1	SAMEA5368356	Enterococcus faecium	2
GCA_015459305.1	SAMEA5368689	Enterococcus faecium	2
GCA_015460965.1	SAMEA5368322	Enterococcus faecium	2
GCA_015461345.1	SAMEA5368226	Enterococcus faecium	2
GCA_015462085.1	SAMEA5368204	Enterococcus faecium	2
GCA_015464185.1	SAMEA5368154	Enterococcus faecium	2
GCA_015465785.1	SAMEA5368641	Enterococcus faecium	2
GCA_015466165.1	SAMEA5368665	Enterococcus faecium	2
GCA_015469105.1	SAMEA5368589	Enterococcus faecium	2
GCA_015469645.1	SAMEA5368068	Enterococcus faecium	2
GCA_016194165.1	SAMEA5368571	Enterococcus faecium	2
GCA_017291915.1	SAMN18087504	Klebsiella pneumoniae	3
GCA_019398085.1	SAMN16967774	Streptococcus pneumoniae	3
GCA_021562955.1	SAMN25220618	Salmonella enterica	2
GCA_021695835.1	SAMN14523309	Pseudomonas aeruginosa	3
GCA_021696035.1	SAMN14523444	Pseudomonas aeruginosa	3
GCA_021696435.1	SAMN14523350	Pseudomonas aeruginosa	3
GCA_021700235.1	SAMN14523662	Pseudomonas aeruginosa	3
GCA_021705035.1	SAMN14523501	Pseudomonas aeruginosa	3
GCA_022273015.1	SAMN03074809	Klebsiella pneumoniae	3
GCA_022325105.1	SAMN24979425	Klebsiella pneumoniae	3
GCA_022524025.1	SAMN25988458	Klebsiella pneumoniae	1
GCA_022534255.1	SAMN25988881	Klebsiella pneumoniae	1
GCA_022535375.1	SAMN25989886	Klebsiella pneumoniae	1
GCA_022536015.1	SAMN25989632	Klebsiella pneumoniae	1
GCA_023630785.1	SAMN26211625	Caballeronia sp. ASUFL_F1_KS2A	3
GCA_023723655.1	SAMN26029031	Escherichia coli	3
GCA_023843595.1	SAMN26764411	Salmonella enterica	3
GCA_023906575.1	SAMN11339214	Pseudomonas aeruginosa	3
GCA_023911835.1	SAMN11338971	Pseudomonas aeruginosa	3
GCA_023911975.1	SAMN11338966	Pseudomonas aeruginosa	3
GCA_024136035.1	SAMN28557611	Streptococcus suis	2
GCA_024136225.1	SAMN28557609	Streptococcus suis	2
GCA_024609875.1	SAMN29955736	Campylobacter jejuni	2
GCA_024668325.1	SAMN29955733	Campylobacter jejuni	2
GCA_027273615.1	SAMN32247480	Escherichia coli	2
GCA_027276235.1	SAMN32247360	Escherichia coli	2
GCA_027538365.1	SAMN06640057	Staphylococcus aureus	3
GCA_027538945.1	SAMN06640072	Staphylococcus aureus	3
GCA_027540105.1	SAMN06640162	Staphylococcus aureus	3
GCA_030866865.1	SAMN36794655	Klebsiella pneumoniae	3
GCA_032180105.1	SAMN36303397	Escherichia coli	2
GCA_032429215.1	SAMN36638882	Escherichia coli	2
GCA_033089575.1	SAMN11339393	Pseudomonas aeruginosa	3
GCA_033090815.1	SAMN11339344	Pseudomonas aeruginosa	3
GCA_033090995.1	SAMN11339334	Pseudomonas aeruginosa	3
GCA_033091435.1	SAMN11339312	Pseudomonas aeruginosa	3
GCA_034492685.1	SAMN37664852	Klebsiella pneumoniae	3
GCA_034979785.1	SAMN02982686	Streptococcus pyogenes	2
GCA_036366865.1	SAMN38380758	Streptococcus pneumoniae	3
GCA_036368045.1	SAMN38380698	Streptococcus pneumoniae	3
GCA_037213735.1	SAMN29756941	Neisseria meningitidis	3
GCA_037220405.1	SAMN22968466	Neisseria meningitidis	3
GCA_037267155.1	SAMN29407067	Neisseria meningitidis	3
GCA_037267435.1	SAMN29406933	Neisseria meningitidis	3
GCA_037405775.1	SAMN10275834	Neisseria meningitidis	3
GCA_037410935.1	SAMN10275847	Neisseria meningitidis	3
GCA_037411215.1	SAMN10275897	Neisseria meningitidis	3
GCA_037644055.1	SAMN40004849	Escherichia coli	3
GCA_038392235.1	SAMN38081213	Escherichia coli	2
GCA_038392355.1	SAMN38081199	Escherichia coli	2
GCA_040430675.1	SAMN41937594	Klebsiella variicola subsp. variicola	3
GCA_043278525.1	SAMN44236801	Salmonella enterica	1
GCA_043859945.1	SAMN44265411	Salmonella enterica	1
GCA_045029395.1	SAMN22781022	Neisseria meningitidis	3
GCA_045059955.1	SAMN36593422	Acinetobacter baumannii	3
GCA_045194125.1	SAMN32815812	Neisseria meningitidis	3
GCA_045196165.1	SAMN32815775	Neisseria meningitidis	3
GCA_047918255.1	SAMN46226322	Streptococcus suis	3
GCA_049070125.1	SAMN45085718	Staphylococcus aureus	2
GCA_049843775.1	SAMN40121519	Escherichia coli	1
GCA_051373705.1	SAMN49875466	Salmonella enterica	3
GCA_051407755.1	SAMN46424191	Klebsiella pneumoniae	2
GCA_051792905.1	SAMN41834171	Neisseria meningitidis	3
GCA_052371395.1	SAMN50736698	Acinetobacter baumannii	3
GCA_052499055.1	SAMN43307103	Escherichia coli	3
GCA_052499255.1	SAMN43307094	Escherichia coli	3
GCA_052501605.1	SAMN43307898	Escherichia coli	3
GCA_052501885.1	SAMN43307216	Escherichia coli	3
GCA_052495545.1	SAMN43307168	Escherichia coli	3
GCA_052500955.1	SAMN43307595	Escherichia coli	3
GCA_052542755.1	SAMN51203313	Listeria monocytogenes	2
GCA_053723255.1	SAMN52754838	Escherichia coli	3
GCA_053723695.1	SAMN52754956	Escherichia coli	3
GCA_053725675.1	SAMN52754979	Escherichia coli	3
GCA_053726215.1	SAMN52754911	Escherichia coli	3
GCA_054102695.1	SAMN54223338	Escherichia coli	3
GCA_055821155.1	SAMN53502804	Klebsiella pneumoniae	2
GCA_056867715.1	SAMN47254584	Xanthomonas citri pv. citri	3
GCA_057346855.1	SAMN58971116	Escherichia coli	2
GCA_057348595.1	SAMN58522956	Escherichia coli	2
GCA_057351905.1	SAMN59157916	Escherichia coli	2
GCA_057376645.1	SAMN59518228	Escherichia coli	2
GCA_057377365.1	SAMN59518250	Escherichia coli	2
GCA_057378125.1	SAMN59518177	Escherichia coli	2
GCA_901226685.1	SAMEA2658788	Streptococcus pneumoniae	3
GCA_900025195.1	SAMEA2238799	Streptococcus pneumoniae	3
GCA_901331725.1	SAMEA104154649	Streptococcus pneumoniae	3
GCA_978433115.1	SAMEA118437136	Enterococcus faecium	3
GCA_053761525.1	SAMN53316606	Enterococcus eurekensis	2
GCA_046267835.1	SAMN43911274	Bacillus subtilis	3
GCA_055818495.1	SAMN53502924	Proteus mirabilis	2
GCA_046573905.1	SAMN46052153	Helicobacter pylori	3
GCA_046574445.1	SAMN46052196	Helicobacter pylori	3
GCA_056673225.1	SAMN56810735	Escherichia coli O157:H7	2
GCA_057042885.1	SAMN50509453	Phocaeicola sp.	1
GCA_057044265.1	SAMN50509417	Bilophila wadsworthia	1
GCA_057044445.1	SAMN50509411	Parasutterella excrementihominis	1
GCA_056465945.1	SAMN56811441	Escherichia coli	2
GCA_056465985.1	SAMN56810973	Escherichia coli O157:H7	2
GCA_056466185.1	SAMN56810734	Escherichia coli O157:H7	2
GCA_056466905.1	SAMN56810806	Escherichia coli	2
GCA_056467585.1	SAMN56811717	Escherichia coli	2
GCA_057173345.1	SAMN56681610	Klebsiella pneumoniae	3
GCA_900018975.1	SAMEA2239055	Streptococcus pneumoniae	3
GCA_900018985.1	SAMEA2239029	Streptococcus pneumoniae	3
GCA_900037425.1	SAMEA2238281	Streptococcus pneumoniae	3
GCA_901284105.1	SAMEA2696657	Streptococcus pneumoniae	3
GCA_901296885.1	SAMEA3389857	Streptococcus pneumoniae	3
GCA_049060305.1	SAMEA115674862	Staphylococcus aureus	2
GCA_049450975.1	SAMEA5379535	Haemophilus influenzae	1
GCA_049495815.1	SAMN12375186	Haemophilus influenzae	3
GCA_049532945.1	SAMN46972959	Faecalibacterium prausnitzii	2
GCA_947085155.1	SAMEA111451322	uncultured Burkholderiales bacterium	3
GCA_947085645.1	SAMEA111451354	uncultured Gammaproteobacteria bacterium	3
GCA_947085715.1	SAMEA111451348	uncultured Elusimicrobia bacterium	3
GCA_947085725.1	SAMEA111451328	uncultured Candidatus Peregrinibacteria bacterium	3
GCA_051897995.1	SAMN45100488	Yersinia enterocolitica	2
GCA_964489965.1	SAMEA117295596	uncultured bacterium	2
GCA_964508085.1	SAMEA117375484	uncultured Saprospiraceae bacterium	3
GCA_964586435.1	SAMEA117295616	uncultured Spirochaetales bacterium	2
GCA_001637705.1	SAMN02949651	Escherichia coli	2
GCA_902652045.1	SAMEA6160255	Blautia hansenii	2
GCA_002114145.1	SAMN05858649	Bifidobacterium bifidum	2
GCA_002574735.1	SAMN07598174	Bacillus thuringiensis	3
GCA_002577335.1	SAMN07597944	Bacillus cereus	3
GCA_002578425.1	SAMN07597910	Bacillus cereus	3
GCA_002581765.1	SAMN07597961	Bacillus toyonensis	3
GCA_002583445.1	SAMN07597789	Bacillus thuringiensis	3
GCA_002584695.1	SAMN07597812	Bacillus cereus	3
GCA_943367445.1	SAMEA14447070	Chitinophaga pinensis	1
GCA_943367965.1	SAMEA14447033	Aquiflexum balticum DSM 16537	1
GCA_052560775.1	SAMN47846118	Haemophilus influenzae	2
GCA_001094985.1	SAMEA970279	Streptococcus pneumoniae	3
GCA_002565225.1	SAMN07598563	Bacillus cereus	3
GCA_000225975.2	SAMN02471171	Xanthomonas sacchari NCPPB 4393	3
GCA_000934585.1	SAMN03290698	Mycobacterium tuberculosis	3
GCA_013078025.1	SAMEA3531747	Escherichia coli	3
GCA_013315935.1	SAMN14609780	Escherichia coli	2
GCA_013359795.1	SAMN14931889	Sphingomonas zeae	2
GCA_000277425.1	SAMN02603196	Helicobacter pylori PeCan18	3
GCA_001915545.1	SAMN05717224	Bacteroides sp. 43_108	2
GCA_002551855.1	SAMN07598696	Bacillus cereus	3
GCA_002919385.1	SAMN08158225	Nevskiaceae bacterium	2
GCA_003612565.1	SAMN10024793	Roseburia sp. 1XD42-69	2
GCA_003839175.1	SAMN07423961	Pseudomonas aeruginosa	3
GCA_015273535.1	SAMN15665287	Staphylococcus epidermidis	3
GCA_015273575.1	SAMN15665285	Staphylococcus epidermidis	3
GCA_018175315.1	SAMEA5905412	Escherichia coli	2
GCA_018592535.1	SAMN11487627	Mycoplasmopsis bovis	2
GCA_018109085.1	SAMN11579510	Klebsiella pneumoniae	3
GCA_026152255.1	SAMN31538080	Salmonella enterica	2
GCA_018986495.1	SAMN19676924	Staphylococcus aureus	3
GCA_026157605.1	SAMN30260683	Streptococcus mitis	2
GCA_026157845.1	SAMN30260672	Streptococcus mitis	2
GCA_026161225.1	SAMN30260530	Streptococcus mitis	2
GCA_019134815.1	SAMN18737167	Francisella tularensis	3
GCA_019729715.1	SAMN20932928	Listeria monocytogenes	2
GCA_020419105.1	SAMN21855386	Burkholderia cenocepacia	3
GCA_019572135.1	SAMN20710314	Salmonella enterica	2
GCA_021096025.1	SAMEA8581416	Enterobacter hormaechei	3
GCA_021491475.1	SAMN24665685	Corynebacterium argentoratense	2
GCA_021694835.1	SAMN14523552	Pseudomonas aeruginosa	3
GCA_021285105.1	SAMN24183535	Enterobacter hormaechei	2
GCA_021309815.1	SAMN14969771	Aggregatibacter actinomycetemcomitans	2
GCA_022143345.1	SAMN25809987	Salmonella enterica subsp. enterica serovar Infantis	3
GCA_022711935.1	SAMN26087332	Klebsiella oxytoca	1
GCA_033744595.1	SAMN31538260	Escherichia coli	2
GCA_033770335.1	SAMN34474311	Salmonella enterica	2
GCA_034893665.1	SAMN14440732	Streptococcus pyogenes	3
GCA_034895205.1	SAMN14440743	Streptococcus pyogenes	3
GCA_035590675.1	SAMEA3713818	Streptococcus pneumoniae	3
GCA_031714535.1	SAMN36398575	Pasteurella multocida	2
GCA_037401195.1	SAMN40355381	Escherichia coli	3
GCA_037032185.1	SAMN38909300	Fusobacterium polymorphum	2
GCA_042159015.1	SAMN42096959	Escherichia coli O157:H7	2
GCA_023840745.1	SAMN26764553	Salmonella enterica	3
GCA_023842375.1	SAMN26764471	Salmonella enterica	3
GCA_023718485.1	SAMN03013570	Cutibacterium acnes P10	3
GCA_026774885.1	SAMN31988483	Escherichia coli	3
GCA_029403165.1	SAMD00467496	Staphylococcus aureus	2
GCA_029404255.1	SAMD00467435	Staphylococcus aureus	2
GCA_030403335.1	SAMN32539675	Streptococcus suis	3
GCA_030801905.1	SAMD00501398	Escherichia coli	3
GCA_032622675.1	SAMN37764805	Listeria monocytogenes	3
GCA_046549335.1	SAMN16788667	Micromonospora sp. 050-3	3
GCA_046570725.1	SAMN46052215	Helicobacter pylori	3
GCA_046570925.1	SAMN46052246	Helicobacter pylori	3
GCA_046571885.1	SAMN46052282	Helicobacter pylori	3
GCA_049844035.1	SAMN40121506	Escherichia coli	3
GCA_050974945.1	SAMN44583988	Bordetella pertussis	2
GCA_050584505.1	SAMN47557158	Staphylococcus aureus	3
GCA_051304005.1	SAMN49722031	Klebsiella pneumoniae	3
GCA_051304425.1	SAMN49722055	Klebsiella pneumoniae	3
GCA_052506945.1	SAMN43306302	Escherichia coli	3
GCA_052548575.1	SAMN47846147	Haemophilus influenzae	2
GCA_053091125.1	SAMN43325425	Streptococcus pyogenes	3
GCA_053901255.1	SAMN53526166	Xylella fastidiosa subsp. multiplex	3
GCA_055556445.1	SAMN43881089	Escherichia coli	2
GCA_056135465.1	SAMN50893229	Elizabethkingia anophelis	3
GCA_056494785.1	SAMN56813275	Escherichia coli O157:H7	2
GCA_900021405.1	SAMEA2238338	Streptococcus pneumoniae	3
GCA_900021705.1	SAMEA2238873	Streptococcus pneumoniae	3
GCA_900022175.1	SAMEA2238359	Streptococcus pneumoniae	3
GCA_007079745.1	SAMN07781638	Salmonella enterica	2
GCA_009738015.1	SAMN10410693	Acinetobacter baumannii	2
GCA_011857005.2	SAMN12860897	Escherichia coli O157:H7	2
GCA_011922085.1	SAMN12230447	Escherichia coli O157:H7	2
GCA_011941785.1	SAMN11785364	Escherichia coli	2
GCA_012920205.1	SAMN14503177	Escherichia coli	2
GCA_018106225.1	SAMN11513638	Citrobacter werkmanii	3
GCA_018278785.1	SAMN19011035	Escherichia coli	2
GCA_019356015.1	SAMN20308719	Neisseria meningitidis	3
GCA_019356355.1	SAMN20255402	Enterococcus faecium	3
GCA_021398345.1	SAMN17983072	Staphylococcus epidermidis	2
GCA_022519525.1	SAMN25988446	Klebsiella pneumoniae	3
GCA_022979715.2	SAMN12662451	Escherichia coli	2
GCA_023277385.1	SAMN20060267	Xanthomonas oryzae pv. oryzae	3
GCA_025544355.1	SAMN18871198	Blautia hydrogenotrophica	2
GCA_025399135.1	SAMN07375592	Escherichia coli	2
GCA_025402915.1	SAMN11997569	Acinetobacter baumannii	3
GCA_025907595.1	SAMN31394338	Riemerella anatipestifer	2
GCA_026182985.1	SAMN31538134	Salmonella enterica	2
GCA_026730195.1	SAMN14112730	Staphylococcus aureus	3
GCA_028447565.1	SAMN30078474	Acinetobacter baumannii	3
GCA_028468945.1	SAMEA7375665	Staphylococcus aureus	2
GCA_030143835.1	SAMN34999102	Klebsiella pneumoniae	3
GCA_030293085.1	SAMN32360953	Staphylococcus aureus	3
GCA_031716815.1	SAMN36398633	Pasteurella multocida	2
GCA_033331885.1	SAMN33700661	Mannheimia haemolytica	2
GCA_033331925.1	SAMN33700660	Mannheimia haemolytica	2
GCA_033333755.1	SAMN33700567	Mannheimia haemolytica	2
GCA_033334575.1	SAMN33700526	Mannheimia haemolytica	2
GCA_033334635.1	SAMN33700525	Mannheimia haemolytica	2
GCA_033335315.1	SAMN33700488	Mannheimia haemolytica	2
GCA_034421415.1	SAMN13291829	Clostridium perfringens	2
GCA_034913885.1	SAMN14436586	Streptococcus pyogenes	3
GCA_034918465.1	SAMN14436501	Streptococcus pyogenes	3
GCA_040796495.1	SAMN42447147	Kineococcus endophyticus	2
GCA_045311955.1	SAMN44359600	Exiguobacterium acetylicum	3
GCA_050340895.1	SAMN47498500	Streptococcus pneumoniae	3
GCA_001535685.1	SAMN04376925	Acinetobacter baumannii	6
GCA_051949595.1	SAMN41787757	Xanthomonas citri pv. mangiferaeindicae	3
GCA_052227895.1	SAMN50752355	Staphylococcus pseudintermedius	3
GCA_052506505.1	SAMN43307022	Escherichia coli	3
GCA_053011125.1	SAMN43148734	Enterobacter hormaechei	2
GCA_056342605.1	SAMN45853073	Proteus mirabilis	2
