count,field,value,recommended_action
1,Isolation_Source_SD,parent strain ATCC 43300; vancomycin resistance selection Day 15 replicate 5,route to controlled category or manual_review
1,Isolation_Source_SD,parent strain ATCC 43300; vancomycin resistance selection Day 15 replicate 8,route to controlled category or manual_review
1,Isolation_Source_SD,parent strain ATCC 43300; vancomycin resistance selection Day 20 replicate 1,route to controlled category or manual_review
1,Isolation_Source_SD,parent strain ATCC 43300; vancomycin resistance selection Day 20 replicate 2,route to controlled category or manual_review
1,Isolation_Source_SD,parent strain ATCC 43300; vancomycin resistance selection Day 20 replicate 4,route to controlled category or manual_review
1,Isolation_Source_SD,parent strain ATCC 43300; vancomycin resistance selection Day 20 replicate 7,route to controlled category or manual_review
1,Isolation_Source_SD,parent strain ATCC 43300; vancomycin resistance selection Day 20 replicate 8,route to controlled category or manual_review
1,Isolation_Source_SD,parent strain ATCC 43300; vancomycin resistance selection Day 20 replicate 5,route to controlled category or manual_review
1,Isolation_Source_SD,parent strain ATCC 43300; vancomycin resistance selection Day 20 replicate 6,route to controlled category or manual_review
1,Isolation_Source_SD,parent strain ATCC 25923 maintained for many years in lab,route to controlled category or manual_review
1,Isolation_Source_SD,Facility fcG,route to controlled category or manual_review
1,Isolation_Source_SD,rough type phage-resistant strain derived from Klebsiella pneumoniae K7,route to controlled category or manual_review
1,Isolation_Source_SD,smooth type phage-resistant strain derived from K. pneumoniae K7,route to controlled category or manual_review
1,Isolation_Source_SD,strain K3574 exposed to 15 days of lytic phage infection,route to controlled category or manual_review
1,Isolation_Source_SD,"strain K3574 exposed to 15 days of a constant concentration of phage and mucin, daily added to the media",route to controlled category or manual_review
1,Isolation_Source_SD,"strain K3574 exposed to 15 days of a constant concentration of mucin, daily added to the media",route to controlled category or manual_review
1,Isolation_Source_SD,parent strain,route to controlled category or manual_review
1,Isolation_Source_SD,tssM knockout of parent strain KU1003-01,route to controlled category or manual_review
1,Isolation_Source_SD,QC org:ATCC 27853,route to controlled category or manual_review
1,Isolation_Source_SD,"mixture of 5 samples p1, p2, p67, p73, p74 isolated from the parent mutator strain Pseudomonas fluorescens ATCC 948",route to controlled category or manual_review
