rule_file,action,normalized_synonym,before_value,after_value,before_taxid,after_taxid
host_synonyms,added,latuca sp.,,Lactuca,,4235
host_synonyms,added,leiodermatium,,Leiodermatium,,1090547
host_synonyms,added,lemna,,Lemna,,4469
host_synonyms,added,lemuroidea,,Lemuriformes,,376915
host_synonyms,added,lepidocollema sp. s4,,Lepidocollema,,1618045
host_synonyms,added,leptosemia sp. g,,Leptosemia,,179420
host_synonyms,added,lichi,,Litchi chinensis,,151069
host_synonyms,added,listrus sp. 00,,Listrus,,1710671
host_synonyms,added,listrus sp. 01,,Listrus,,1710671
host_synonyms,added,listrus sp. 02,,Listrus,,1710671
host_synonyms,added,listrus sp. 04,,Listrus,,1710671
host_synonyms,added,listrus sp. 06,,Listrus,,1710671
host_synonyms,added,listrus sp. 07,,Listrus,,1710671
host_synonyms,added,listrus sp. 09,,Listrus,,1710671
host_synonyms,added,lobaria pulmonaria thallus,,Lobaria pulmonaria,,86794
host_synonyms,added,longicorn,,Cerambycidae,,34667
host_synonyms,added,lophophysema sp. rt 2015,,Poecilosclerida,,27925
host_synonyms,added,luffae sp.,,Luffa,,3669
host_synonyms,added,macherium nyctitans,,Machaerium nyctitans,,450035
host_synonyms,added,mantidactylus aff. curtus 19,,Mantidactylus curtus,,143435
host_synonyms,added,maoctra veneriformis,,Mactra veneriformis,,120570
host_synonyms,added,maple,,Acer,,4022
host_synonyms,added,marantha leuconeura,,Maranta leuconeura,,34203
host_synonyms,added,marcelaria sp.,,Marcelaria,,1562556
host_synonyms,added,marine ciliate,,Ciliophora,,5878
host_synonyms,added,marmosa camescens,,Marmosa canescens,,225728
host_synonyms,added,marten,,Martes,,9658
host_synonyms,added,marter,,Martes,,9658
host_synonyms,added,meenoplinae sp.,,Meenoplinae,,1401837
host_synonyms,added,megaspora,,Megaspora,,88750
host_synonyms,added,mephitiade sp.,,Mephitidae,,119825
host_synonyms,added,merlot sp.,,Vitis vinifera,,29760
host_synonyms,added,mexican lime,,Citrus aurantiifolia,,159033
host_synonyms,added,microcerotermes,,Microcerotermes,,139992
host_synonyms,added,micromys,,Micromys,,13150
host_synonyms,added,micromys sp,,Micromys,,13150
host_synonyms,added,microtus,,Microtus,,10053
host_synonyms,added,microtus sp,,Microtus,,10053
host_synonyms,added,millet,,Poaceae,,4479
host_synonyms,added,minipig,,Sus scrofa,,9823
host_synonyms,added,monkeys,,Simiiformes,,314293
host_synonyms,added,muntiacus,,Muntiacus,,9885
host_synonyms,added,mustard,,Brassicaceae,,3700
host_synonyms,added,myodes,,Myodes,,447134
host_synonyms,added,myodes sp,,Myodes,,447134
host_synonyms,added,myrtea sp. scaly one kf741663,,Myrtea,,183491
host_synonyms,added,myxilla sp. 4,,Myxilla,,118320
host_synonyms,added,nasonia sp. vxg hybrid,,Nasonia,,7424
host_synonyms,added,nasutitermes voeltzkowi,,Nasutitermes voeltzkowi,,377956
host_synonyms,added,neotyphloceras sp.,,Neotyphloceras,,507071
host_synonyms,added,nephrolepsis exaltata,,Nephrolepis exaltata,,34165
host_synonyms,added,newzealand rabbits,,Oryctolagus cuniculus,,9986
host_synonyms,added,nightshade,,Solanum nigrum,,4112
host_synonyms,added,nippon ibis,,Nipponia nippon,,128390
host_synonyms,added,o. sativa,,Oryza sativa,,4530
host_synonyms,added,olive,,Olea europaea,,4146
host_synonyms,added,olive knot,,Olea europaea,,4146
host_synonyms,added,onchorhynchus apache,,Oncorhynchus apache,,209197
host_synonyms,added,orchid,,Orchidaceae,,4747
host_synonyms,added,orchids,,Orchidaceae,,4747
host_synonyms,added,orizae sativa l.,,Oryza sativa,,4530
host_synonyms,added,ornithdoros turicata,,Ornithodoros turicata,,34597
host_synonyms,added,ornithdoros turicatae,,Ornithodoros turicata,,34597
host_synonyms,added,ortrugo,,Vitis vinifera,,29760
host_synonyms,added,ostracean,,Crustacea,,197562
host_synonyms,added,ostrea,,Ostrea,,37858
host_synonyms,added,others heterodon platrhinos,,Heterodon platirhinos,,8597
host_synonyms,added,others oxycirrhites typus,,Oxycirrhites typus,,587059
host_synonyms,added,otis tarde,,Otis tarda,,73107
host_synonyms,added,oxytropis,,Oxytropis,,20802
host_synonyms,added,p.falciparum,,Plasmodium falciparum,,5833
host_synonyms,added,pallasiomys meridianus,,Meriones meridianus,,261754
host_synonyms,added,palythoa,,Palythoa,,86596
host_synonyms,added,parrotbill,,Passeriformes,,9126
host_synonyms,added,passerculus sandwichensis beldingi,,Passerculus sandwichensis,,161624
host_synonyms,added,pasture gramineae,,Poaceae,,4479
host_synonyms,added,peanuts,,Arachis hypogaea,,3818
host_synonyms,added,pelican,,Pelecanidae,,30444
host_synonyms,added,pelicanus rufescens,,Pelecanus rufescens,,1243782
host_synonyms,added,peony,,Paeonia,,13625
host_synonyms,added,phaecochoerus aethipicus,,Phacochoerus aethiopicus,,85517
host_synonyms,added,phgllotreta striolaea,,Phyllotreta striolata,,444603
host_synonyms,added,phocidae,,Phocidae,,9709
host_synonyms,added,photos sp.,,Pothos,,174212
host_synonyms,added,phyllanthus urinaria l,,Phyllanthus urinaria,,296035
host_synonyms,added,phyton sp.,,Python,,37579
host_synonyms,added,picochloruma sp. 122,,Picochlorum,,249344
host_synonyms,added,pigeonpea,,Cajanus cajan,,3821
host_synonyms,added,pinot noir,,Vitis vinifera,,29760
host_synonyms,added,planarians flatworm,,Tricladida,,6159
host_synonyms,added,plantanus sp.,,Platanus,,4402
host_synonyms,added,poecilosclerida sp.,,Poecilosclerida,,27925
host_synonyms,added,polyalae radix,,Polygala,,4275
host_synonyms,added,polyblastidium,,Polyblastidium,,2884779
host_synonyms,added,polychachis laevissima,,Polyrhachis laevissima,,616287
host_synonyms,added,polygala,,Polygala,,4275
host_synonyms,added,polyrhachis turneri,,Polyrhachis turneri,,111087
host_synonyms,added,polytelis,,Polytelis,,35544
host_synonyms,added,porities sp.,,Porites,,46719
host_synonyms,added,porphyla,,Porphyra,,2784
host_synonyms,added,porphyrae yezoensis,,Porphyra yezoensis,,2788
host_synonyms,added,porqupine,,Rodentia,,9989
host_synonyms,added,pullet carpet shell,,Veneridae,,6592
host_synonyms,added,pumkin,,Cucurbita,,3660
host_synonyms,added,pumpkin,,Cucurbita,,3660
host_synonyms,added,putative tunicate,,Tunicata,,7712
host_synonyms,added,pygathrix,,Pygathrix,,54132
host_synonyms,added,q. agrifolia x q. wislizeni,,Quercus,,3511
host_synonyms,added,r. pseudoacacia l.,,Robinia pseudoacacia,,35938
host_synonyms,added,raccoondog,,Nyctereutes procyonoides,,34880
host_synonyms,added,rapeseed,,Brassica napus,,3708
host_synonyms,added,red billed woodhoopoe,,Phoeniculus purpureus,,113189
host_synonyms,added,red cocoyam,,Araceae,,4454
host_synonyms,added,red marine alga,,Rhodophyta,,2763
host_synonyms,added,reed,,Poaceae,,4479
host_synonyms,added,rheum palmatum l.,,Rheum palmatum,,137221
host_synonyms,added,rhizoma kaempferiae,,Kaempferia galanga,,97750
host_synonyms,added,rhynchosiae phaseoloides,,Rhynchosia phaseoloides,,2730134
host_synonyms,added,ridgea piscesae,,Ridgeia piscesae,,27915
host_synonyms,added,roe buck,,Capreolus capreolus,,9858
host_synonyms,added,rubus caesius,,Rubus caesius,,75065
host_synonyms,added,ruby grapefruit,,Citrus paradisi,,37656
host_synonyms,added,russian sage,,Perovskia atriplicifolia,,268885
host_synonyms,added,ryegrass,,Lolium,,4520
host_synonyms,added,s.paradoxus,,Saccharomyces paradoxus,,27291
host_synonyms,added,saccharum,,Saccharum,,4546
