synonym,canonical,taxid,confidence,rank,superkingdom,lineage,current_note,recommended_action,action_detail
Vaccinium corymbosum,Vaccinium corymbosum,69266,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;asterids;Ericales;Ericaceae;Vaccinioideae;Vaccinieae;Vaccinium;Vaccinium corymbosum,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Siphamia tubifer,Siphamia tubifer,1536898,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Gobiaria;Kurtiformes;Apogonoidei;Apogonidae;Apogoninae;Siphamia;Siphamia tubifer,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Mytilus galloprovincialis,Mytilus galloprovincialis,29158,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Bivalvia;Autobranchia;Pteriomorphia;Mytilida;Mytiloidea;Mytilidae;Mytilinae;Mytilus;Mytilus galloprovincialis,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Vulpes vulpes,Vulpes vulpes,9627,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Carnivora;Caniformia;Canidae;Vulpes;Vulpes vulpes,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Acmispon strigosus,Acmispon strigosus,1240363,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fabales;Fabaceae;Papilionoideae;50 kb inversion clade;NPAAA clade;Hologalegina;robinioid clade;Loteae;Acmispon;Acmispon strigosus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Ixodes scapularis,Ixodes scapularis,6945,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Parasitiformes;Ixodida;Ixodoidea;Ixodidae;Ixodinae;Ixodes;Ixodes scapularis,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Lates calcarifer,Lates calcarifer,8187,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Carangaria;Carangaria incertae sedis;Centropomidae;Lates;Lates calcarifer,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Musca domestica,Musca domestica,7370,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Endopterygota;Aparaglossata;Panorpida;Diptera;Brachycera;Muscomorpha;Eremoneura;Cyclorrhapha;Schizophora;Calyptratae;Muscoidea;Muscidae;Muscinae;Muscini;Musca;Musca;Musca domestica,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Pyrus communis,Pyrus communis,23211,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Rosales;Rosaceae;Amygdaloideae;Maleae;Pyrus;Pyrus communis,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Microtus obscurus,Microtus obscurus,523745,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Glires;Rodentia;Myomorpha;Muroidea;Cricetidae;Arvicolinae;Microtus;Microtus obscurus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Bathymodiolus septemdierum,Bathymodiolus septemdierum,220392,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Bivalvia;Autobranchia;Pteriomorphia;Mytilida;Mytiloidea;Modiolidae;Bathymodiolinae;Bathymodiolus;Bathymodiolus septemdierum,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Larus dominicanus,Larus dominicanus,37036,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Charadriiformes;Laridae;Larus;Larus dominicanus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Mangifera indica,Mangifera indica,29780,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;malvids;Sapindales;Anacardiaceae;Mangifera;Mangifera indica,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Coffea arabica,Coffea arabica,13443,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;asterids;lamiids;Gentianales;Rubiaceae;Ixoroideae;Gardenieae complex;Bertiereae - Coffeeae clade;Coffeeae;Coffea;Coffea arabica,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Capreolus capreolus,Capreolus capreolus,9858,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Artiodactyla;Ruminantia;Pecora;Cervidae;Odocoileinae;Capreolus;Capreolus capreolus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Streptococcus agalactiae,Streptococcus agalactiae,1311,high,species,Bacteria,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus agalactiae,NCBI Taxonomy name2taxid reviewed import,demote_microbial_taxon_in_host_field,Bacterial/archaeal/viral lineage is not a default Host_SD.
Apodemus flavicollis,Apodemus flavicollis,54292,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Glires;Rodentia;Myomorpha;Muroidea;Muridae;Murinae;Apodemus;Sylvaemus group;Apodemus flavicollis,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Erinaceus europaeus,Erinaceus europaeus,9365,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Eulipotyphla;Erinaceidae;Erinaceinae;Erinaceus;Erinaceus europaeus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Phalacrocorax auritus,Phalacrocorax auritus,56069,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Aequornithes;Suliformes;Phalacrocoracidae;Phalacrocorax;Phalacrocorax auritus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Ixodes persulcatus,Ixodes persulcatus,34615,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Parasitiformes;Ixodida;Ixodoidea;Ixodidae;Ixodinae;Ixodes;Ixodes persulcatus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Trichosurus vulpecula,Trichosurus vulpecula,9337,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Metatheria;Diprotodontia;Phalangeridae;Trichosurus;Trichosurus vulpecula,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Syngnathus typhle,Syngnathus typhle,161592,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Syngnathiaria;Syngnathiformes;Syngnathoidei;Syngnathidae;Syngnathinae;Syngnathus;Syngnathus typhle,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Equus sp.,Equus sp.,46122,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Perissodactyla;Equidae;Equus;unclassified Equus;Equus sp.,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Hoplobatrachus rugulosus,Hoplobatrachus rugulosus,110072,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amphibia;Batrachia;Anura;Neobatrachia;Ranoidea;Dicroglossidae;Dicroglossinae;Hoplobatrachus;Hoplobatrachus rugulosus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Junco hyemalis,Junco hyemalis,40217,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Australaves;Passeriformes;Passerellidae;Junco;Junco hyemalis,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Dermacentor silvarum,Dermacentor silvarum,543639,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Parasitiformes;Ixodida;Ixodoidea;Ixodidae;Rhipicephalinae;Dermacentor;Dermacentor silvarum,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Glyptotermes sp.,Glyptotermes sp.,90059,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Dictyoptera;Blattodea;Blattoidea;Termitoidae;Kalotermitidae;Glyptotermitinae;Glyptotermes;unclassified Glyptotermes;Glyptotermes sp.,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Clathrolucina costata,Clathrolucina costata,1899378,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Bivalvia;Autobranchia;Heteroconchia;Euheterodonta;Imparidentia;Lucinida;Lucinoidea;Lucinidae;Clathrolucina;Clathrolucina costata,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Scorpiurus muricatus,Scorpiurus muricatus,997354,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fabales;Fabaceae;Papilionoideae;50 kb inversion clade;NPAAA clade;Hologalegina;robinioid clade;Loteae;Scorpiurus;Scorpiurus muricatus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Saccharum officinarum,Saccharum officinarum,4547,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;PACMAD clade;Panicoideae;Andropogonodae;Andropogoneae;Saccharinae;Saccharum;Saccharum officinarum species complex;Saccharum officinarum,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Periplaneta americana,Periplaneta americana,6978,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Dictyoptera;Blattodea;Blattoidea;Blattidae;Blattinae;Periplaneta;Periplaneta americana,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Thalassiosira minuscula,Thalassiosira minuscula,385413,high,species,Eukaryota,cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta;Coscinodiscophyceae;Thalassiosirophycidae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira minuscula,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Xenopsylla cheopis,Xenopsylla cheopis,163159,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Endopterygota;Aparaglossata;Panorpida;Siphonaptera;Pulicomorpha;Pulicoidea;Pulicidae;Xenopsyllinae;Xenopsylla;Xenopsylla cheopis,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Mediolabrus comicus,Mediolabrus comicus,2590921,high,species,Eukaryota,cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta;Coscinodiscophyceae;Thalassiosirophycidae;Thalassiosirales;Thalassiosiraceae;Mediolabrus;Mediolabrus comicus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Canis latrans,Canis latrans,9614,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Carnivora;Caniformia;Canidae;Canis;Canis latrans,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Danio rerio,Danio rerio,7955,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Otomorpha;Ostariophysi;Otophysi;Cypriniphysae;Cypriniformes;Cyprinoidei;Danionidae;Danioninae;Danio;Danio rerio,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Spinus pinus,Spinus pinus,2201931,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Australaves;Passeriformes;Passeroidea;Fringillidae;Carduelinae;Spinus;Spinus pinus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Phalacrocorax carbo,Phalacrocorax carbo,9209,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Aequornithes;Suliformes;Phalacrocoracidae;Phalacrocorax;Phalacrocorax carbo,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Medicago lupulina,Medicago lupulina,47085,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fabales;Fabaceae;Papilionoideae;50 kb inversion clade;NPAAA clade;Hologalegina;IRL clade;Trifolieae;Medicago;Medicago lupulina,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,74940,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Protacanthopterygii;Salmoniformes;Salmonidae;Salmoninae;Oncorhynchus;Oncorhynchus tshawytscha,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Dicentrarchus labrax,Dicentrarchus labrax,13489,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Eupercaria incertae sedis;Moronidae;Dicentrarchus;Dicentrarchus labrax,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Gliricidia sepium,Gliricidia sepium,167663,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fabales;Fabaceae;Papilionoideae;50 kb inversion clade;NPAAA clade;Hologalegina;robinioid clade;Robinieae;Gliricidia;Gliricidia sepium,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Melaleuca quinquenervia,Melaleuca quinquenervia,164942,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;malvids;Myrtales;Myrtaceae;Myrtoideae;Melaleuceae;Melaleuca;Melaleuca quinquenervia,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Lolium perenne,Lolium perenne,4522,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;BOP clade;Pooideae;Poodae;Poeae;Poeae Chloroplast Group 2 (Poeae type);Loliodinae;Loliinae;Lolium;Lolium perenne,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Guazuma ulmifolia,Guazuma ulmifolia,93772,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;malvids;Malvales;Malvaceae;Byttnerioideae;Guazuma;Guazuma ulmifolia,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Pelargonium x hortorum,Pelargonium x hortorum,4031,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;malvids;Geraniales;Geraniaceae;Pelargonium;Pelargonium x hortorum,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Lactuca sativa,Lactuca sativa,4236,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;asterids;campanulids;Asterales;Asteraceae;Cichorioideae;Cichorieae;Lactucinae;Lactuca;Lactuca sativa,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Penaeus monodon,Penaeus monodon,6687,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Communostraca;Malacostraca;Eumalacostraca;Stomatocarida;Decapoda;Dendrobranchiata;Penaeoidea;Penaeidae;Penaeus;Penaeus monodon,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
